Sales_Bucket,recency_score,frequency_score,wallet_score,segment
1. 0-25K,5,5,5,Champions
1. 0-25K,5,5,4,Champions
1. 0-25K,5,4,5,Champions
1. 0-25K,4,5,5,Champions
1. 0-25K,5,5,3,Loyal
1. 0-25K,5,4,4,Loyal
1. 0-25K,4,5,4,Loyal
1. 0-25K,4,4,5,Loyal
1. 0-25K,5,3,5,Loyal
1. 0-25K,3,5,5,Loyal
1. 0-25K,5,5,2,Potential Loyalists
1. 0-25K,5,4,3,Potential Loyalists
1. 0-25K,4,5,3,Potential Loyalists
1. 0-25K,5,3,4,Potential Loyalists
1. 0-25K,4,4,4,Potential Loyalists
1. 0-25K,3,5,4,Potential Loyalists
1. 0-25K,5,5,1,New Customers
1. 0-25K,5,4,2,New Customers
1. 0-25K,4,5,2,New Customers
1. 0-25K,5,3,3,Promising
1. 0-25K,4,4,3,Promising
1. 0-25K,3,5,3,Promising
1. 0-25K,5,4,1,Promising
1. 0-25K,4,5,1,Promising
1. 0-25K,3,4,4,Need Attention
1. 0-25K,4,3,4,Need Attention
1. 0-25K,3,3,5,Need Attention
1. 0-25K,5,3,2,Need Attention
1. 0-25K,4,4,2,Need Attention
1. 0-25K,3,5,2,Need Attention
1. 0-25K,5,2,3,About to Sleep
1. 0-25K,4,3,3,About to Sleep
1. 0-25K,3,4,3,About to Sleep
1. 0-25K,5,3,1,About to Sleep
1. 0-25K,4,4,1,About to Sleep
1. 0-25K,3,5,1,About to Sleep
1. 0-25K,2,5,5,At Risk
1. 0-25K,2,5,4,At Risk
1. 0-25K,2,4,5,At Risk
1. 0-25K,1,5,5,Cannot Lose Them
1. 0-25K,1,5,4,Cannot Lose Them
1. 0-25K,1,4,5,Cannot Lose Them
1. 0-25K,2,5,3,Hibernating
1. 0-25K,2,4,4,Hibernating
1. 0-25K,2,3,5,Hibernating
1. 0-25K,1,5,3,Hibernating
1. 0-25K,1,4,4,Hibernating
1. 0-25K,1,3,5,Hibernating
1. 0-25K,5,2,2,Need Attention
1. 0-25K,4,3,2,Need Attention
1. 0-25K,3,4,2,Need Attention
1. 0-25K,2,5,2,Need Attention
1. 0-25K,5,2,1,About to Sleep
1. 0-25K,4,3,1,About to Sleep
1. 0-25K,3,4,1,About to Sleep
1. 0-25K,2,5,1,About to Sleep
1. 0-25K,5,1,5,Need Attention
1. 0-25K,5,1,4,About to Sleep
1. 0-25K,4,2,4,About to Sleep
1. 0-25K,3,3,4,About to Sleep
1. 0-25K,2,4,4,About to Sleep
1. 0-25K,5,1,3,About to Sleep
1. 0-25K,4,2,3,About to Sleep
1. 0-25K,3,3,3,About to Sleep
1. 0-25K,2,4,3,About to Sleep
1. 0-25K,2,3,4,Hibernating
1. 0-25K,2,2,5,Hibernating
1. 0-25K,1,3,4,Hibernating
1. 0-25K,1,2,5,Hibernating
1. 0-25K,5,1,2,About to Sleep
1. 0-25K,4,2,2,About to Sleep
1. 0-25K,3,3,2,About to Sleep
1. 0-25K,2,4,2,About to Sleep
1. 0-25K,5,1,1,About to Sleep
1. 0-25K,4,2,1,About to Sleep
1. 0-25K,3,3,1,About to Sleep
1. 0-25K,2,4,1,About to Sleep
1. 0-25K,2,3,3,Hibernating
1. 0-25K,2,2,4,Hibernating
1. 0-25K,1,3,3,Hibernating
1. 0-25K,1,2,4,Hibernating
1. 0-25K,2,3,2,Hibernating
1. 0-25K,2,2,3,Hibernating
1. 0-25K,1,3,2,Hibernating
1. 0-25K,1,2,3,Hibernating
1. 0-25K,2,3,1,Hibernating
1. 0-25K,2,2,2,Hibernating
1. 0-25K,1,3,1,Hibernating
1. 0-25K,1,2,2,Hibernating
1. 0-25K,2,2,1,Hibernating
1. 0-25K,1,2,1,Hibernating
1. 0-25K,2,1,5,Hibernating
1. 0-25K,2,1,4,Hibernating
1. 0-25K,1,1,5,Hibernating
1. 0-25K,1,1,4,Hibernating
1. 0-25K,2,1,3,Hibernating
1. 0-25K,1,1,3,Hibernating
1. 0-25K,2,1,2,Hibernating
1. 0-25K,1,1,2,Hibernating
1. 0-25K,2,1,1,Hibernating
1. 0-25K,1,1,1,Hibernating
2. 25-50K,5,5,5,Champions
2. 25-50K,5,5,4,Champions
2. 25-50K,5,4,5,Champions
2. 25-50K,4,5,5,Champions
2. 25-50K,5,5,3,Loyal
2. 25-50K,5,4,4,Loyal
2. 25-50K,4,5,4,Loyal
2. 25-50K,4,4,5,Loyal
2. 25-50K,5,3,5,Loyal
2. 25-50K,3,5,5,Loyal
2. 25-50K,5,5,2,Potential Loyalists
2. 25-50K,5,4,3,Potential Loyalists
2. 25-50K,4,5,3,Potential Loyalists
2. 25-50K,5,3,4,Potential Loyalists
2. 25-50K,4,4,4,Potential Loyalists
2. 25-50K,3,5,4,Potential Loyalists
2. 25-50K,5,5,1,New Customers
2. 25-50K,5,4,2,New Customers
2. 25-50K,4,5,2,New Customers
2. 25-50K,5,3,3,Promising
2. 25-50K,4,4,3,Promising
2. 25-50K,3,5,3,Promising
2. 25-50K,5,4,1,Promising
2. 25-50K,4,5,1,Promising
2. 25-50K,3,4,4,Need Attention
2. 25-50K,4,3,4,Need Attention
2. 25-50K,3,3,5,Need Attention
