customer_no,site,posting_dt_sk,invoice_no,posting_prd,ext_net,entry_origin,cases
581741,170,20251207,5001,202512,619.4,B,5
388389,1,20250621,5002,202506,2092.03,J,3
182627,170,20250209,5003,202502,3040.64,G,9
377370,170,20250518,5004,202505,780.23,H,13
456778,20,20251222,5005,202512,3331.65,H,3
172933,60,20241211,5006,202412,2634.13,G,12
717889,20,20251030,5007,202510,286.73,Y,2
388389,170,20250407,5008,202504,737.79,G,5
106814,1,20250204,5009,202502,1683.79,G,7
172933,20,20251125,5010,202511,934.04,H,20
198246,170,20260104,5011,202601,2876.59,Y,4
388389,1,20250510,5012,202505,2036.5,K,13
865179,60,20251203,5013,202512,734.24,U,8
542417,170,20251123,5014,202511,2715.06,K,20
329258,60,20260113,5015,202601,3444.26,Z,12
182627,170,20251105,5016,202511,1328.47,B,11
126225,20,20250705,5017,202507,2887.04,G,12
838797,60,20251129,5018,202511,577.82,G,17
543143,1,20251013,5019,202510,2838.29,B,16
172933,20,20250713,5020,202507,2898.78,U,11
895667,1,20260131,5021,202601,3274.45,H,15
895667,1,20251221,5022,202512,1653.24,U,13
476417,60,20241216,5023,202412,1755.36,H,16
331148,60,20250601,5024,202506,2802.52,H,20
543143,170,20250912,5025,202509,85.02,Y,3
106814,1,20251205,5026,202512,1452.18,U,8
172933,170,20251028,5027,202510,2505.86,H,1
719176,60,20250501,5028,202505,814.51,J,10
733052,60,20250801,5029,202508,1959.48,H,18
201414,170,20250531,5030,202505,2474.85,H,9
948749,60,20250201,5031,202502,2538.43,H,18
781453,20,20250310,5032,202503,796.53,B,19
456778,60,20250122,5033,202501,2922.57,H,12
850800,60,20250505,5034,202505,98.81,B,9
356787,170,20241229,5035,202412,1959.09,F,5
793384,20,20250123,5036,202501,3060.88,U,16
148050,20,20250715,5037,202507,1225.44,Y,9
148050,20,20250129,5038,202501,2886.3,H,3
246316,20,20250217,5039,202502,564.73,U,10
671858,170,20250408,5040,202504,458.66,F,20
717889,20,20260103,5041,202601,1852.88,H,15
325772,20,20250929,5042,202509,3465.61,H,20
872246,60,20251010,5043,202510,3362.38,G,7
331148,60,20250416,5044,202504,2328.48,G,6
876646,60,20250220,5045,202502,59.23,H,20
172933,60,20250430,5046,202504,162.61,H,10
838797,1,20250107,5047,202501,2421.48,Y,19
671412,170,20250707,5048,202507,445.98,G,5
832052,60,20260129,5049,202601,540.72,G,10
391369,1,20250714,5050,202507,479.02,J,13
543143,1,20250815,5051,202508,1912.94,H,20
356787,60,20250711,5052,202507,2584.14,U,1
719176,60,20250329,5053,202503,3368.59,Z,19
877572,1,20251228,5054,202512,2369.37,H,2
850800,20,20250730,5055,202507,1840.43,H,9
781453,1,20250927,5056,202509,1553.8,Z,3
172933,60,20250529,5057,202505,1458.8,H,4
308496,1,20250519,5058,202505,1470.18,B,13
356787,20,20250722,5059,202507,353.81,H,4
581741,170,20250822,5060,202508,2896.0,G,18
172933,1,20250701,5061,202507,237.0,B,20
338968,60,20251018,5062,202510,1575.04,G,9
343962,60,20250428,5063,202504,1561.5,F,4
388389,170,20251020,5064,202510,2150.61,H,6
452944,60,20250910,5065,202509,97.18,H,8
198246,170,20250726,5066,202507,3317.36,J,5
338968,60,20251203,5067,202512,1056.92,F,14
148050,60,20250731,5068,202507,890.87,U,13
835392,20,20251004,5069,202510,1803.43,K,3
543143,170,20260101,5070,202601,2775.52,H,17
832052,60,20260126,5071,202601,58.85,F,19
793384,20,20250216,5072,202502,1590.59,B,11
377370,60,20250723,5073,202507,3268.34,K,8
946335,1,20250331,5074,202503,3003.24,H,11
172933,170,20251128,5075,202511,3201.33,H,5
338968,1,20241220,5076,202412,485.55,Y,11
542417,60,20250715,5077,202507,394.01,K,1
629903,60,20250629,5078,202506,3054.72,Y,3
172933,60,20260106,5079,202601,3393.75,H,13
671858,1,20250519,5080,202505,2990.58,K,13
197251,1,20251018,5081,202510,2529.58,F,18
356787,20,20251014,5082,202510,286.05,J,10
391704,20,20251219,5083,202512,361.81,Y,4
759176,20,20250225,5084,202502,2444.3,K,2
201414,20,20260113,5085,202601,243.61,H,14
629903,170,20250406,5086,202504,1882.52,U,6
850800,1,20250301,5087,202503,322.44,K,20
