_id,org_id,device_id,device_name,serial_number,device_category,created_at,last_updated,warranty_id,warranty_number,warranty_type,warranty_start,warranty_end,_class,warranty_name,warranty_category,warranty_delivery_type,warranty_description,warranty_duration,warranty_service_profile,warranty_response_profile
warr_000,org_123,dev_000,Device_0,SN000000,Hardware,1768222057979,1768222057979,wid_000,WNUM000000,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_001,org_123,dev_001,Device_1,SN000001,Hardware,1768222057979,1768222057979,wid_001,WNUM000001,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_002,org_123,dev_002,Device_2,SN000002,Hardware,1768222057979,1768222057979,wid_002,WNUM000002,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_003,org_123,dev_003,Device_3,SN000003,Hardware,1768222057979,1768222057979,wid_003,WNUM000003,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_004,org_123,dev_004,Device_4,SN000004,Hardware,1768222057979,1768222057979,wid_004,WNUM000004,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_005,org_123,dev_005,Device_5,SN000005,Hardware,1768222057979,1768222057979,wid_005,WNUM000005,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_006,org_123,dev_006,Device_6,SN000006,Hardware,1768222057979,1768222057979,wid_006,WNUM000006,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_007,org_123,dev_007,Device_7,SN000007,Hardware,1768222057979,1768222057979,wid_007,WNUM000007,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_008,org_123,dev_008,Device_8,SN000008,Hardware,1768222057979,1768222057979,wid_008,WNUM000008,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_009,org_123,dev_009,Device_9,SN000009,Hardware,1768222057979,1768222057979,wid_009,WNUM000009,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_010,org_123,dev_010,Device_10,SN000010,Hardware,1768222057979,1768222057979,wid_010,WNUM000010,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_011,org_123,dev_011,Device_11,SN000011,Hardware,1768222057979,1768222057979,wid_011,WNUM000011,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_012,org_123,dev_012,Device_12,SN000012,Hardware,1768222057979,1768222057979,wid_012,WNUM000012,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_013,org_123,dev_013,Device_13,SN000013,Hardware,1768222057979,1768222057979,wid_013,WNUM000013,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_014,org_123,dev_014,Device_14,SN000014,Hardware,1768222057979,1768222057979,wid_014,WNUM000014,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_015,org_123,dev_015,Device_15,SN000015,Hardware,1768222057979,1768222057979,wid_015,WNUM000015,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_016,org_123,dev_016,Device_16,SN000016,Hardware,1768222057979,1768222057979,wid_016,WNUM000016,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_017,org_123,dev_017,Device_17,SN000017,Hardware,1768222057979,1768222057979,wid_017,WNUM000017,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_018,org_123,dev_018,Device_18,SN000018,Hardware,1768222057979,1768222057979,wid_018,WNUM000018,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_019,org_123,dev_019,Device_19,SN000019,Hardware,1768222057979,1768222057979,wid_019,WNUM000019,Standard,1768222057979,1799758057979,warranty,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
