_id,org_id,device_id,device_display_name,device_serial_number,device_product_name,created_at,last_modified_date,package_details,_class,groups,groups_1
sud_000,org_123,dev_000,Device_0,SN000000,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_001,org_123,dev_001,Device_1,SN000001,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_002,org_123,dev_002,Device_2,SN000002,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_003,org_123,dev_003,Device_3,SN000003,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_004,org_123,dev_004,Device_4,SN000004,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_005,org_123,dev_005,Device_5,SN000005,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_006,org_123,dev_006,Device_6,SN000006,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_007,org_123,dev_007,Device_7,SN000007,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_008,org_123,dev_008,Device_8,SN000008,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
sud_009,org_123,dev_009,Device_9,SN000009,Enterprise Laptop,1768222300785,1768222300785,"[
  {packageId:'pkg_001',installationStatus:'installed',lastModifiedDate:'1700000000000',packageSeverity:'Critical',filteringGroupName:'All Devices'},
  {packageId:'pkg_002',installationStatus:'pending',lastModifiedDate:'1700000500000',packageSeverity:'Moderate',filteringGroupName:'HQ'}
]",system_update_devices,All Devices,HQ
