class,site,corp_item_no,unit_sales_rolling_yoy,bestseller_rank,badge
FHYM4L1VFZ3ZFKKIBJ3J4WJ99IBAG7I1MNBQNS6PUQ80IDW3706I8J,1,641595,2457.6324,65976,JLJ4H9DU7794G9DPMRCG629BE2U66MR26846P7Q9M2I0HZ2UEP1E
THJXJQI3OGZ5KOK1,170,624241,4786.4027,5343972,XBV932BY
7S6EHOGFQRCLRI1QZJ865UFR,1,987341,5708.5086,1214906,BFQFOEQH3AV90RIC7PHK
DLMTT7NS26LRWBQCAB6,20,731901,6000.2780,1783105,158Z6TNOVMIZWDIAEQ1KDFY6SPSC3LKR2AQXV9UPCTNWL
VYF,170,329988,2697.5086,4163759,AFQFJZCZBTTOF7JYU5JSJC616I76BOFBCIX
Y29DB8P5Q,1,991569,6750.7631,8979162,7E4QEQPN
35YE4SCMEJVQTIA4D,170,329988,1335.7223,3652290,5S7S333H9MTF4BS3E62RYNNEFJ7QXI6RHXO55ZBKA52ZTJ
WYUHVAUVZHMASQXEZYEX1RDRGDSJP,60,881770,2548.1107,6263761,1BZ99NFD02IS5D9IK40VSTQQZPT49ZHKKEN659O2V21I9MPFLV9FU
XQMB0Y07NYRVD5RXI6,20,979604,3334.6884,6451858,21TBIC145AEZ732PGOJJ7G3F9CAI
CTIQ71HGET7MYQOAA,60,991569,4246.0721,4066085,7P9PB0TDBM50FQO1XO5CV0XZMAS6EN5MT
MO3OQSG5LO50DJZDNBJ0DDLZ2UHFKVML73CTYXV2KGAFRFW0H9NY,60,364861,5804.2367,1472372,4MX82M
X4B0PZCYC3EDQMEVXRVCQUR,60,439433,7993.5804,1096090,OG43
YQ15I5LATJPUU3XF6MZKP0EC498UK1GEQFNG052LOI03P8HSSRRX,60,931129,5897.4969,4151171,PPJSMUEZQP67OG
3CGA4O2XCSOHDMMEX6L2QAGWNCXVJCNQCNAU0XLTENC5,170,160367,5305.5826,9229777,8FKZR0ST0DTW
0BXMZZNA1K1HFZX3KIAD9JZFX6KJW,60,82390,900.5572,1825241,5MTIC4UDYFKOZM4LNCZ7KYWHJPM
9CUHY,170,64616,4109.9366,7047636,P1YX262LBA53P23L4ZGEIW
XF266CCIFU6FD6YIBEHMI5SKOEWQKU,60,518674,1926.9947,4264120,4NQ6PUXCMLZKRUYKQH7DX297GQ8ZXQYXJXV
F2OLDS7QTUACOJS106XDI5OCBDAWTG7W8O0TINX4KIAPJ2GEJRZ,60,439433,7547.4812,5877607,275PKACD8BZLPKDGA9MJ0M760L6TETD48AY13F2LO
QOCHVQDR9,170,468288,7022.8705,4450932,NF6AKQPMKUMYVPY8447AB
OTNZEKJCBHGKWJBBCICECEXM8EYGPN,20,443182,-8511.7226,1467498,S4GIGNSUV1QBWQSDXU64SB0B17GW4D8NFSK1A7MSDAW5G5L5W6QKSNO
KHF59GUWGZZF1BXNTQ186KYO3I8CWU7J29,60,82390,9248.4250,4315316,OIV3P6MRTJJPU7WKPUMQGKGMYJJTT1RMGGRNY3CA
1O6S3BJQZAP10OOLH31UQG0PZKQ1,170,991569,-5494.1311,8694830,LUAY5GCQ8NKM7WG38N46BX7V03NLZ6HWDQRYZDAE00WQGO
Z7OZ3NKIEM49OJW03S9I4W,20,329988,9226.8178,4253848,L4ARWPTU451FXJTYDFUI7WAANESQGJ
OL2WJNZ8KF9TM5N7F2H9HQ0OI459D43J5P5K8AKU35S3X10ELXBBCVG64,170,702133,454.9578,3579617,0IVGXV479NS1V1Q9DSSW5ZV6R6WN5HVMUTIFCZ9Z8DZTGACM
4D68YJFNC3LGLC0GAXIT9QTL0CUB1D57CH0Z2EAYJ409GF4NJA1AAHF,20,641595,6339.5297,298249,P2LDXJFS953QDCADAFYT
K5DUX24KJHXK04Y2RVSRDV,1,373731,4141.9287,9809105,PYYYO2SAUQR1KCSJJR95W8F895YMOT
DZ3NQAY38F8WEOZ7Q7U46MMNMFLSXWZ7JPC5XGX3F,20,368188,4629.4601,4706815,BGCN5NQR1G2IQCVMLYFBDC9X35EZHFQUOF6Z
2KXPOLCQWD9BDQ,170,359671,4263.8631,96930,T2G4UXQYHX4YK2P
JA3MCKOEXI2GYBE2VUO4HXJVODL29J2JR00PJBRSVKQ5GU34HJ6DN9,170,373731,3460.0409,3382652,1QPPGYS0KDSJB26V6I2A7SLX1C
NRLIL7OLMFF5RLNIMTMAE70D7WVS5,1,439433,6397.0094,2236099,RPLXCKXAW727EHWPUYDSG526B78IBPFOLKGTQ9BBGMQB37P2GWGLCRH356
RHHHZI8OOJ3ZKBY07CZDXVZPV1UZ9DU7JWP1AXG7LEU1M6BOI0Z,170,607020,-540.4517,576694,RR8CGQH7A1PCSHTWKHD6RF38J2H6IS0SRPF8S3OYM9X39T44TBPVOM68YZ
WKP,60,64616,3622.9109,4778486,NSDBK9EW2D7Y2WG7OJ0VWIMR7G4RI0GA09H5ZJ0RHY23SWSWZ79YUA5Y2TL
TJ1YOFVUPUN1ABDQ5T8T81771Y3WCW2AE7OG0,60,731901,7534.1601,9631041,M05Z2V7FKXUX
T6LHSV6,170,607020,3891.3259,8583326,6M0LDGWC0AAT9ATZ
GABML59R86JM0HJK76GBGEK7531DAUJPWRKCRGEWM2YBDOZC2DPPOCKL,60,439433,6112.8569,5094847,Q5EPYO0TZ5BPFLKWYLASZ9XHV8YVZ
EH1W9PYM3SWP1CRBVJPIFMR8I923PKXWNZYNT46NO2IQ,170,736567,7176.0995,4131400,6NIH6F8RYBJTAYFLOUMGE9X6TMET
OSIZSWZ3,20,229807,396.9364,6150222,W0B3PZWGLSHROCZCK1MTJYC9TLO57Q1WAHSCDPHCUNWF0Z
OR7FW12V626DN16I5MC9QL8KP8QPDKWW0FMTII54PPA62IWTIJ,20,624241,1583.3832,9198279,KJ3ZNHSAX5NCDRTMHT2HKU23XSK9EC
35F,60,931129,1460.3222,8201983,5M8UAWFSQPFIBBZJSXL7KGTUYLWUOX
9XQPDCGZDN5,170,498128,4020.7900,9749510,FJOKI2ZFC24MNXAC61JSED60VE2ALKYSA2WM4F8U731
JZFDVT0X4ITV7BMO2FJX90X7P2ZQHOLM9HOQG,20,697414,9517.3524,8208709,93O8H6F0E2I696H6G
Z8KM4FIXDZPDXCAN3THI1FMHWKXVAQHP,60,731901,4791.0333,8203857,WGW9U
HCPQWM2B2HB5HEQLJ9SYJQ8R2ABVJ564CCELZ4K2ZO7EXV7NTICNKX,170,624241,5206.0546,5933804,AV4VOBP3CJJRYRE6QW7IC9G
M1GXSPJETVX6PW9ZVDVU46XPPWJINA3Z2ZTKEJTTQ9VEMFLTW3W1E5ULRQ,1,702133,3597.7201,3974547,BNDZ2MS6GMPDIDFEVIAMR8AUBNUUB5ZVLD0CFV5ZQ3ABUUD0
VKFBJNJ7FWX1W89JVOQ4CT939RX77RIQA94GXJOZFB,20,443182,6735.7293,3438299,LQXJLK7BWP25NWY3NUBGAEZWDOY0YOBQBQ1POW
U1RT5NK4RITSFVA5,20,82390,8190.7102,7600881,DNXC2L1ITBHJAITJ
