_metadata,corp_item_no,site,link_item_creation_dt,badge
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",715328,170,2024-05-10 05:10:37.214776+00:00,J1MFUU1WZWPWFARNMMPZX6HT3X
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",701675,170,2025-11-13 10:14:37.011500+00:00,IHAS143YZ0P3492EQ94KRUVAOJWKLK
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",69157,60,2025-07-29 10:25:22.986743+00:00,FKXDXU36ISSD
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",586184,1,2024-06-07 04:48:45.961030+00:00,E9J
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",881770,170,2024-08-08 16:13:07.887525+00:00,L0OGB72GL7ZEQMGBC2L9JCY7SHC1
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",701675,20,2025-07-20 00:42:33.731515+00:00,HHSE44P3JCWDUXT8O2HTHTBYCBAL4XQ8VHACSEKTUZEE7WW55CMO7FM0N7
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",373731,1,2025-02-23 09:46:28.678439+00:00,HL0Q12A7JO7VVLTXSDUWBFQAOY3HCBRIL2O8CWI63QW
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",443182,20,2025-09-10 20:34:54.136794+00:00,0HDXDPDY995TVRSI59VSGBSMJBZRS6SDUN0O5PV7
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",24658,60,2024-05-09 07:31:02.719069+00:00,XQC32IWJW2ZWX1BFJ3J0Q6FL19XZ5TE8
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",881770,1,2025-06-01 03:25:16.530140+00:00,PVR4ZRAHNL3BNO3NRN5N6JCBQ
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",73103,20,2024-10-29 00:53:42.870274+00:00,K14O70PQVGC165BUZTQHMFG90G3M476RUSDL88
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",160367,1,2025-04-13 14:16:00.743936+00:00,P0XQC1U21UZJ1NZRCSB592L14NXKLYD72JXKVPOBVOE
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",794919,20,2025-05-24 15:00:16.093880+00:00,TZLYUBEOIN2IGB
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",862850,170,2025-08-17 07:08:49.793788+00:00,KUR8WN8RM96EN2GKFGR853QOOFG4F9JUK7PFKRHJO0C
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",979604,1,2024-01-23 07:37:16.532289+00:00,WUN6XS
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",99142,60,2024-05-11 15:03:29.775433+00:00,BOQUSBOFR2Q8B8TVIJ3WWAN8F25LJZX34GP
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",99142,1,2025-03-18 07:28:18.202499+00:00,FD7W9ECW4PWCBZX3DKBBDVIZTYXPGTYOBT
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",368188,1,2025-01-04 18:27:20.502497+00:00,0QWRSKA4KBIDL53QD28JCLMA1MZZ3Q
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",991569,60,2025-02-09 15:56:21.597052+00:00,BV8D7IOKTL
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",991569,170,2025-03-16 06:02:08.971662+00:00,E7AH1OHTJUDHDG864S2U6KE7W3R
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",443182,1,2024-05-13 18:54:00.180577+00:00,H5BLKI7KOO21BQ9K6TJDNCF
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",701675,20,2024-07-19 09:34:27.971181+00:00,QMK38XOC2PVOTVD8CP0N68X70QW70XHW1ZO5LQSMZR1QAII2B
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",828425,20,2024-02-25 08:05:23.678190+00:00,I81BVU2O3H3LH6MP4R0O6GK2C6JD2QMNXU
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",177211,60,2025-04-11 18:28:31.266278+00:00,RNSBY9V
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",991569,60,2024-04-26 05:06:06.944900+00:00,TZC27ZMQUOD3JA5L2GTEME6FQOJ7UC8YBR7NQLL
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",405531,1,2024-02-19 22:55:14.977232+00:00,TECO94E4HQRNBU9U4B157PF4PTRF791LVN7Z9N7RRHWB45G4MS98UFBQPSR
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",521801,170,2024-10-09 00:20:25.024139+00:00,ZA72LYA7X4BJWI4N4T5IDUTE
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",679563,60,2024-09-29 02:25:52.646851+00:00,LQYG2I6NN8CSALGWV0GIV8PZ4VHZ5XAB389W0XNWJTJ
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",405531,60,2024-12-19 16:12:24.232208+00:00,8MI3NEYTX4NFD4P6
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",368188,170,2025-07-10 18:24:38.559553+00:00,OBSLF336FGJJUV25FWCZS68FY6OMEJ7
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",99142,170,2024-12-01 06:08:25.680374+00:00,9HTTLLH
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",736567,20,2024-03-16 22:22:07.327480+00:00,4QIO59BY9ANNDX0LQL7Z6AH678FUHE
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",24658,20,2025-12-04 05:54:19.902362+00:00,CKK4YB4MX50NB
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",64616,170,2025-11-23 19:45:32.427370+00:00,GGVOFRSJG7N59Q9VUGE7AJ
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",24658,60,2024-02-02 01:31:41.395168+00:00,CROD2CPU0E23CZRK8JAOBXISWI78AW8ZZTGOGG
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",513714,20,2024-06-05 19:32:20.142079+00:00,8ENOUQEGQBTZW1JYJEG24WBJLVRK
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",679563,60,2025-07-02 10:53:32.344854+00:00,BU800TKQPFWARBNTD8UEX5TPYLZIRFQ690CH
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",701675,20,2024-09-07 16:19:56.044162+00:00,6TQCL5G1IGR2XRUCLLHD37NCJUULXTCV1NDHGCWSHE2ZWP
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",368188,170,2026-01-01 21:06:25.012036+00:00,IZW5RKG
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",42111,1,2025-07-07 17:33:39.952968+00:00,WREXG8KABBG9PMNZE0PWIHCT9YFVY
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",702133,20,2025-01-29 21:17:31.303799+00:00,TW7Y53OE7DX2UG4URPPRL45DO0U0NLAUD2XNR6780V6NP11U9MBC5NKJC85
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",607020,60,2024-10-04 04:58:32.574016+00:00,126GGOD31J3LI0OFEOV1XSKPSBPRUXWLLHESCW
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",69157,170,2025-10-05 01:18:54.471776+00:00,Z32LWWRNXGBULBHDG8I3TIJEOHGYF11HHU64JZZVG37FIJR7N
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",702133,60,2025-01-13 10:10:57.810937+00:00,TE8315ZT7L51MJ4DC09DXNC46W1CBE9382OFWVXONN0VR1OMSNSPX4J
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",702133,20,2024-07-29 06:55:08.019313+00:00,RHHYV7QV
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",357644,170,2025-07-05 04:01:45.979208+00:00,9C5MEYOTSZ
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",679563,1,2025-07-03 12:35:28.388905+00:00,H20YV8DSC243BAZJB6MS2QWTVP8KVLW1T0HXCHP99NF93RC4QP
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",99142,20,2025-06-03 07:40:32.123280+00:00,04ZM764W8ITIR1BG02XHJ3TIGRPMTGSMBC8JITY11B9KGN3TT477MG7PBK4
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",862850,60,2024-03-04 06:17:45.302555+00:00,37NOCU2PHIVZRWEJPZ5QPZB6HB8GCK0ASMS8F7YHDGKV3QP131
"{""_dataos_run_mapper_id"": ""mock:redshift-inputs""}",715328,60,2025-02-25 07:35:01.467761+00:00,RUUZ2DGFK7BFPR875E
