stdlinxscd,tdlinx_store_sk,stranscd,smodchgind,sfiledt,sstatusind,sname,sno,sstreetadd,scity,sst,szip,splacenm,sstcd,scntcd,scntrynm,stradeclcd,sformatcd,snostrcd,schainind,sfiller1,slat,slong,slatlongcd,sblockid,sfiller2,sareacd,sphoneno,sfiller3,sannvolcd,swklyvol,ssqft,sftemploy,snmchkout,sfiller4,stdlinxocd,sownfamcd,sownnm,sowncity,sownst,sownstcd,sowncntcd,sfiller5,stdlinxpcd,ssupfamcd,ssupnm,ssupcity,ssupst,ssupstcd,ssupcntcd,sfiller6,stdlinxgcd,sgrpnm,sfranind,sfiller7,sgas,shivolcig,spharm,sliquor,swine,sbeer,sonprem,sfoodtype,sfuture1,sfuture2,sfuture3,sfiller8,src_desc,cstdlinxscd,current_ind,trade_channel_desc,premise_type,tdlinx_premise,store_volume_desc,chain_indicator_desc,food_type_desc,format_type_desc,lat_long_geo_desc,no_of_stores_desc,store_status_desc,transaction_code_desc,htdlinxucd,hulname,td_store_osk,source_system,ecommerce_provider,ecommerce_delivery_ind,ecommerce_in_store_pickup_ind,ecommerce_curbside_pickup_ind,load_dt,modified_dt
TDLX00000,1000000000,N,ADD,20260129,A,Wine World,1000,9966 Oak Ave,Louisville,KY,40201,Louisville,KY,USA,United States,OFF,Su,00,C,FILLER,40.4544,-79.8472,Y,BLK00000,FILLER,KY,277-555-6545,FILLER,H,1410,5948,39,5,FILLER,OWN00000,FAM000,Wine World Inc,Louisville,KY,KY,USA,FILLER,PROV00000,SUP001,Southern Glazer's,Miami,CA,CA,USA,FILLER,GRP000,Wine World Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00000,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00000,WINE WORLD LOUISVILLE,1000000000,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00001,1000000001,N,ADD,20260129,A,Liquor Barn,1001,8014 Market St,Seattle,WA,98101,Seattle,WA,USA,United States,OFF,Su,01,C,FILLER,45.3665,-101.3951,Y,BLK00001,FILLER,WA,577-555-4465,FILLER,L,8365,18084,74,3,FILLER,OWN00001,FAM001,Liquor Barn Inc,Seattle,WA,WA,USA,FILLER,PROV00001,SUP001,Southern Glazer's,Los Angeles,NY,NY,USA,FILLER,GRP001,Liquor Barn Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00001,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00001,LIQUOR BARN SEATTLE,1000000001,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00002,1000000002,N,ADD,20260129,A,Riverside Liquor,1002,1213 1st Ave,Atlanta,GA,30301,Atlanta,GA,USA,United States,OFF,Co,02,C,FILLER,46.1761,-82.8989,Y,BLK00002,FILLER,GA,407-555-8898,FILLER,M,2341,25916,87,5,FILLER,OWN00002,FAM002,Riverside Liquor Inc,Atlanta,GA,GA,USA,FILLER,PROV00002,SUP001,Southern Glazer's,Los Angeles,NY,TX,USA,FILLER,GRP002,Riverside Liquor Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00002,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00002,RIVERSIDE LIQUOR ATLANTA,1000000002,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00003,1000000003,N,ADD,20260129,A,Bottles,1003,243 Main St,Fort Worth,TX,76101,Fort Worth,TX,USA,United States,OFF,Sp,03,I,FILLER,27.9104,-84.3767,Y,BLK00003,FILLER,TX,699-555-1776,FILLER,M,2186,9825,53,7,FILLER,OWN00003,FAM003,Bottles Inc,Fort Worth,TX,TX,USA,FILLER,PROV00003,SUP001,Southern Glazer's,Los Angeles,TX,CA,USA,FILLER,GRP003,Bottles Group,N,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00003,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Independent,Specialty Store,Specialty Store,Valid Coordinates,Single Store,Active,New Account,ULOC00003,BOTTLES FORT WORTH,1000000003,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00004,1000000004,N,ADD,20260129,A,ABC Fine Wine & Spirits,1004,8762 Broadway,Milwaukee,WI,53201,Milwaukee,WI,USA,United States,OFF,Co,04,C,FILLER,40.4146,-95.5053,Y,BLK00004,FILLER,WI,898-555-9540,FILLER,H,1659,7406,30,6,FILLER,OWN00004,FAM004,ABC Fine Wine & Spirits Inc,Milwaukee,WI,WI,USA,FILLER,PROV00004,SUP001,Southern Glazer's,New York,NY,CA,USA,FILLER,GRP004,ABC Fine Wine & Spirits Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00004,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00004,ABC FINE WINE & SPIR MILWAUKEE,1000000004,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00005,1000000005,N,ADD,20260129,A,Liquor Barn,1005,8904 Main St,Dallas,TX,75201,Dallas,TX,USA,United States,OFF,Co,05,C,FILLER,43.8911,-89.7006,Y,BLK00005,FILLER,TX,424-555-5375,FILLER,H,7428,12739,79,7,FILLER,OWN00005,FAM005,Liquor Barn Inc,Dallas,TX,TX,USA,FILLER,PROV00005,SUP001,Southern Glazer's,New York,CA,FL,USA,FILLER,GRP005,Liquor Barn Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00005,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00005,LIQUOR BARN DALLAS,1000000005,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00006,1000000006,N,ADD,20260129,A,ABC Fine Wine & Spirits,1006,4660 Oak Ave,Las Vegas,NV,89101,Las Vegas,NV,USA,United States,OFF,Su,06,C,FILLER,27.8117,-109.2219,Y,BLK00006,FILLER,NV,203-555-2291,FILLER,H,4761,5191,96,3,FILLER,OWN00006,FAM006,ABC Fine Wine & Spirits Inc,Las Vegas,NV,NV,USA,FILLER,PROV00006,SUP001,Southern Glazer's,Los Angeles,CA,NY,USA,FILLER,GRP006,ABC Fine Wine & Spirits Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00006,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00006,ABC FINE WINE & SPIR LAS VEGAS,1000000006,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00007,1000000007,N,ADD,20260129,A,Spec's Wine Spirit & Finer Foods,1007,6396 Elm St,San Jose,CA,95101,San Jose,CA,USA,United States,OFF,Co,07,C,FILLER,42.567,-80.8001,Y,BLK00007,FILLER,CA,959-555-5486,FILLER,M,3952,28346,89,7,FILLER,OWN00007,FAM007,Spec's Wine Spirit & Finer Foods Inc,San Jose,CA,CA,USA,FILLER,PROV00007,SUP001,Southern Glazer's,Dallas,FL,NY,USA,FILLER,GRP007,Spec's Wine Spirit & Finer Foods Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00007,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00007,SPEC'S WINE SPIRIT & SAN JOSE,1000000007,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00008,1000000008,N,ADD,20260129,A,Wine World,1008,3417 Market St,San Jose,CA,95101,San Jose,CA,USA,United States,OFF,Su,08,C,FILLER,45.6752,-75.006,Y,BLK00008,FILLER,CA,371-555-6709,FILLER,H,3083,26311,43,10,FILLER,OWN00008,FAM008,Wine World Inc,San Jose,CA,CA,USA,FILLER,PROV00008,SUP001,Southern Glazer's,New York,FL,NY,USA,FILLER,GRP008,Wine World Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00008,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00008,WINE WORLD SAN JOSE,1000000008,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00009,1000000009,N,ADD,20260129,A,K&L Wine Merchants,1009,2983 Elm St,Philadelphia,PA,19101,Philadelphia,PA,USA,United States,OFF,Su,09,C,FILLER,30.5101,-95.7923,Y,BLK00009,FILLER,PA,437-555-9398,FILLER,L,7285,8271,61,12,FILLER,OWN00009,FAM009,K&L Wine Merchants Inc,Philadelphia,PA,PA,USA,FILLER,PROV00009,SUP001,Southern Glazer's,New York,CA,TX,USA,FILLER,GRP009,K&L Wine Merchants Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00009,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00009,K&L WINE MERCHANTS PHILADELPH,1000000009,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
