order_item_id,order_id,product_id,quantity,unit_price,discount_rate,tax_rate
OI000001,O000001,P0170,3,128.83,0.05,0.06625
OI000002,O000001,P0125,3,88.7,0.15,0.06625
OI000003,O000001,P0065,5,226.0,0.05,0.06625
OI000004,O000002,P0053,2,26.58,0.1,0.05125
OI000005,O000002,P0191,1,58.06,0.2,0.05125
OI000006,O000002,P0023,5,115.1,0.1,0.05125
OI000007,O000003,P0157,4,140.36,0.05,0.029
OI000008,O000003,P0032,3,12.01,0.0,0.029
OI000009,O000003,P0111,4,64.79,0.0,0.029
OI000010,O000004,P0152,4,75.09,0.1,0.029
OI000011,O000004,P0032,3,13.14,0.0,0.029
OI000012,O000004,P0014,1,19.13,0.05,0.029
OI000013,O000005,P0109,3,77.26,0.0,0.0825
OI000014,O000005,P0103,5,12.99,0.05,0.0825
OI000015,O000005,P0026,5,43.07,0.0,0.0825
OI000016,O000005,P0067,3,221.3,0.15,0.0825
OI000017,O000006,P0129,3,69.73,0.1,0.0825
OI000018,O000006,P0176,4,37.42,0.1,0.0825
OI000019,O000006,P0183,4,104.32,0.15,0.0825
OI000020,O000007,P0194,4,34.47,0.2,0.0725
OI000021,O000008,P0145,3,24.05,0.0,0.0825
OI000022,O000008,P0124,5,154.06,0.2,0.0825
OI000023,O000008,P0177,1,56.92,0.15,0.0825
OI000024,O000009,P0001,2,28.09,0.0,0.07
OI000025,O000010,P0140,5,34.59,0.2,0.029
OI000026,O000010,P0067,5,220.83,0.0,0.029
OI000027,O000011,P0095,4,65.38,0.0,0.029
OI000028,O000011,P0171,4,48.4,0.1,0.029
OI000029,O000011,P0071,2,88.88,0.1,0.029
OI000030,O000011,P0101,1,99.15,0.0,0.029
OI000031,O000012,P0090,5,222.88,0.0,0.1025
OI000032,O000012,P0181,2,101.37,0.05,0.1025
OI000033,O000013,P0121,5,52.96,0.15,0.1025
OI000034,O000013,P0156,5,40.98,0.2,0.1025
OI000035,O000013,P0169,5,70.82,0.15,0.1025
OI000036,O000013,P0047,1,67.32,0.2,0.1025
OI000037,O000014,P0030,1,44.39,0.05,0.089
OI000038,O000014,P0010,1,112.4,0.05,0.089
OI000039,O000014,P0192,4,34.98,0.2,0.089
OI000040,O000015,P0053,1,26.14,0.0,0.0625
OI000041,O000016,P0018,4,41.55,0.0,0.077
OI000042,O000016,P0113,5,59.44,0.15,0.077
OI000043,O000017,P0074,5,30.21,0.15,0.1025
OI000044,O000017,P0020,5,119.0,0.1,0.1025
OI000045,O000018,P0141,3,119.09,0.2,0.0
OI000046,O000018,P0188,1,17.66,0.0,0.0
OI000047,O000019,P0070,1,162.65,0.1,0.1025
OI000048,O000019,P0186,5,47.6,0.05,0.1025
OI000049,O000020,P0175,5,26.5,0.1,0.08875
OI000050,O000020,P0176,4,39.09,0.1,0.08875
OI000051,O000020,P0189,4,40.91,0.0,0.08875
OI000052,O000020,P0005,4,222.23,0.15,0.08875
OI000053,O000021,P0004,2,22.19,0.0,0.08875
OI000054,O000022,P0020,3,127.35,0.0,0.0815
OI000055,O000023,P0014,3,21.2,0.2,0.07
OI000056,O000024,P0010,4,107.79,0.1,0.0625
OI000057,O000024,P0061,1,19.7,0.0,0.0625
OI000058,O000025,P0048,1,182.13,0.0,0.0815
OI000059,O000025,P0169,5,75.63,0.0,0.0815
OI000060,O000025,P0111,5,63.11,0.05,0.0815
OI000061,O000025,P0137,3,5.82,0.15,0.0815
OI000062,O000026,P0137,5,5.73,0.15,0.0725
OI000063,O000026,P0119,3,99.75,0.1,0.0725
OI000064,O000026,P0109,4,79.07,0.0,0.0725
OI000065,O000027,P0158,3,170.8,0.2,0.0725
OI000066,O000028,P0123,2,100.93,0.15,0.08875
OI000067,O000028,P0164,1,22.91,0.15,0.08875
OI000068,O000028,P0143,5,8.71,0.0,0.08875
OI000069,O000029,P0176,4,38.38,0.0,0.0825
OI000070,O000029,P0130,5,29.62,0.0,0.0825
OI000071,O000030,P0131,1,11.87,0.05,0.07
OI000072,O000031,P0121,1,48.46,0.0,0.07
OI000073,O000031,P0076,3,76.35,0.15,0.07
OI000074,O000031,P0160,1,43.05,0.0,0.07
OI000075,O000032,P0145,5,23.2,0.2,0.1025
OI000076,O000032,P0129,1,73.98,0.15,0.1025
OI000077,O000033,P0021,5,48.87,0.05,0.06625
OI000078,O000033,P0091,4,94.32,0.1,0.06625
OI000079,O000033,P0144,4,70.44,0.0,0.06625
OI000080,O000034,P0130,2,30.45,0.1,0.0
OI000081,O000034,P0038,1,163.54,0.1,0.0
OI000082,O000034,P0148,3,167.29,0.2,0.0
OI000083,O000034,P0127,4,34.81,0.0,0.0
OI000084,O000035,P0183,1,109.9,0.05,0.07
OI000085,O000035,P0076,5,72.67,0.0,0.07
OI000086,O000036,P0186,5,53.11,0.15,0.029
OI000087,O000036,P0197,1,20.67,0.0,0.029
OI000088,O000037,P0074,2,32.02,0.0,0.07
OI000089,O000037,P0083,2,116.7,0.05,0.07
OI000090,O000037,P0099,5,91.64,0.05,0.07
OI000091,O000037,P0082,1,14.44,0.0,0.07
OI000092,O000038,P0142,2,32.28,0.0,0.07
OI000093,O000038,P0131,5,12.47,0.0,0.07
OI000094,O000039,P0114,4,60.37,0.0,0.029
OI000095,O000040,P0117,5,101.41,0.0,0.1025
OI000096,O000040,P0162,3,14.55,0.0,0.1025
OI000097,O000040,P0189,4,38.0,0.2,0.1025
OI000098,O000041,P0068,2,59.79,0.0,0.0815
OI000099,O000041,P0121,4,49.47,0.0,0.0815
OI000100,O000042,P0010,3,107.18,0.2,0.07
OI000101,O000042,P0108,5,34.52,0.05,0.07
OI000102,O000043,P0194,3,36.19,0.1,0.0725
OI000103,O000044,P0154,1,30.09,0.15,0.08
OI000104,O000044,P0106,2,75.44,0.1,0.08
OI000105,O000044,P0176,1,38.28,0.05,0.08
OI000106,O000044,P0061,3,21.93,0.1,0.08
OI000107,O000045,P0105,5,157.76,0.2,0.0
OI000108,O000045,P0057,1,189.65,0.15,0.0
OI000109,O000045,P0147,5,48.31,0.15,0.0
OI000110,O000045,P0043,5,24.34,0.2,0.0
OI000111,O000046,P0138,2,159.49,0.0,0.077
OI000112,O000046,P0102,3,16.51,0.0,0.077
OI000113,O000047,P0162,2,12.67,0.2,0.0825
OI000114,O000047,P0198,1,49.48,0.1,0.0825
OI000115,O000048,P0050,4,13.35,0.0,0.08
OI000116,O000048,P0156,3,41.08,0.0,0.08
OI000117,O000048,P0080,1,39.12,0.2,0.08
OI000118,O000048,P0083,5,117.47,0.05,0.08
OI000119,O000049,P0116,2,38.23,0.0,0.07
OI000120,O000050,P0152,4,78.94,0.1,0.1025
OI000121,O000050,P0064,5,100.49,0.15,0.1025
OI000122,O000050,P0022,2,68.36,0.1,0.1025
OI000123,O000050,P0037,3,133.76,0.2,0.1025
OI000124,O000051,P0167,4,64.55,0.15,0.0725
OI000125,O000051,P0061,5,22.55,0.2,0.0725
OI000126,O000051,P0083,1,125.96,0.1,0.0725
OI000127,O000052,P0036,4,17.06,0.0,0.0825
OI000128,O000052,P0192,4,38.51,0.2,0.0825
OI000129,O000052,P0141,3,111.92,0.15,0.0825
OI000130,O000052,P0108,3,36.42,0.0,0.0825
OI000131,O000053,P0043,4,24.3,0.1,0.07
OI000132,O000053,P0135,2,102.54,0.0,0.07
OI000133,O000054,P0090,5,240.76,0.05,0.0825
OI000134,O000055,P0020,2,111.44,0.0,0.0815
OI000135,O000055,P0152,3,78.29,0.0,0.0815
OI000136,O000056,P0158,2,164.7,0.1,0.08875
OI000137,O000057,P0097,4,150.0,0.15,0.077
OI000138,O000057,P0199,3,20.36,0.15,0.077
OI000139,O000057,P0099,2,92.68,0.2,0.077
OI000140,O000057,P0181,3,102.24,0.1,0.077
OI000141,O000058,P0055,4,115.46,0.2,0.06625
OI000142,O000058,P0158,1,166.17,0.05,0.06625
OI000143,O000058,P0144,5,70.03,0.15,0.06625
OI000144,O000058,P0049,3,62.41,0.05,0.06625
OI000145,O000059,P0184,4,35.77,0.2,0.1025
OI000146,O000060,P0022,1,68.33,0.2,0.08
OI000147,O000060,P0108,1,34.98,0.15,0.08
OI000148,O000061,P0017,2,64.57,0.15,0.0815
OI000149,O000062,P0080,3,41.04,0.0,0.089
OI000150,O000063,P0003,3,15.91,0.2,0.05125
OI000151,O000063,P0056,2,19.48,0.2,0.05125
OI000152,O000064,P0052,3,34.78,0.05,0.0
OI000153,O000064,P0046,1,26.01,0.15,0.0
OI000154,O000064,P0076,3,69.7,0.2,0.0
OI000155,O000065,P0024,2,112.41,0.1,0.029
OI000156,O000065,P0132,3,222.0,0.0,0.029
OI000157,O000065,P0198,5,48.31,0.0,0.029
OI000158,O000066,P0166,3,110.26,0.1,0.08875
OI000159,O000066,P0026,5,43.41,0.0,0.08875
OI000160,O000066,P0048,4,186.36,0.1,0.08875
OI000161,O000067,P0196,1,112.35,0.05,0.0815
OI000162,O000067,P0130,5,28.17,0.0,0.0815
OI000163,O000068,P0034,3,42.89,0.0,0.0625
OI000164,O000068,P0170,3,135.77,0.0,0.0625
OI000165,O000069,P0186,2,47.03,0.15,0.06
OI000166,O000070,P0196,4,107.03,0.0,0.07
OI000167,O000070,P0025,4,56.62,0.05,0.07
OI000168,O000071,P0129,5,72.9,0.0,0.06
OI000169,O000071,P0001,2,26.03,0.0,0.06
OI000170,O000071,P0157,1,132.46,0.1,0.06
OI000171,O000072,P0120,1,28.99,0.2,0.089
OI000172,O000073,P0067,5,246.55,0.1,0.0815
OI000173,O000073,P0190,5,12.09,0.1,0.0815
OI000174,O000073,P0163,3,57.25,0.05,0.0815
OI000175,O000073,P0030,1,46.86,0.1,0.0815
OI000176,O000074,P0118,3,22.36,0.05,0.06625
OI000177,O000074,P0094,3,9.42,0.0,0.06625
OI000178,O000074,P0013,5,42.29,0.05,0.06625
OI000179,O000074,P0154,3,30.72,0.1,0.06625
OI000180,O000075,P0111,5,58.16,0.2,0.0825
OI000181,O000075,P0071,5,97.2,0.0,0.0825
OI000182,O000075,P0089,1,59.86,0.0,0.0825
OI000183,O000075,P0118,2,23.69,0.2,0.0825
OI000184,O000076,P0185,1,17.05,0.1,0.029
OI000185,O000076,P0168,1,72.9,0.15,0.029
OI000186,O000076,P0191,3,58.32,0.15,0.029
OI000187,O000077,P0047,1,71.53,0.0,0.06
OI000188,O000077,P0174,4,59.05,0.05,0.06
OI000189,O000077,P0073,3,8.64,0.2,0.06
OI000190,O000077,P0070,3,162.46,0.0,0.06
OI000191,O000078,P0088,3,48.41,0.1,0.0
OI000192,O000079,P0022,5,72.01,0.05,0.05125
OI000193,O000079,P0054,4,69.55,0.0,0.05125
OI000194,O000079,P0192,5,33.78,0.05,0.05125
OI000195,O000080,P0141,2,110.06,0.15,0.029
OI000196,O000080,P0105,3,160.76,0.05,0.029
OI000197,O000080,P0091,1,95.2,0.2,0.029
OI000198,O000080,P0193,3,23.2,0.15,0.029
OI000199,O000081,P0168,4,70.52,0.1,0.08875
OI000200,O000081,P0045,4,45.12,0.2,0.08875
OI000201,O000081,P0175,1,27.09,0.0,0.08875
OI000202,O000081,P0026,5,46.59,0.0,0.08875
OI000203,O000082,P0142,4,34.19,0.0,0.07
OI000204,O000082,P0131,2,12.33,0.2,0.07
OI000205,O000082,P0050,2,12.94,0.05,0.07
OI000206,O000082,P0042,1,81.62,0.0,0.07
OI000207,O000083,P0063,1,21.47,0.0,0.0825
OI000208,O000083,P0119,4,111.63,0.1,0.0825
OI000209,O000084,P0094,4,9.34,0.15,0.0825
OI000210,O000085,P0124,3,140.22,0.2,0.07
OI000211,O000085,P0054,1,67.21,0.2,0.07
OI000212,O000086,P0038,3,159.65,0.05,0.05125
OI000213,O000086,P0134,5,35.12,0.05,0.05125
OI000214,O000087,P0008,5,136.04,0.15,0.029
OI000215,O000087,P0055,1,113.29,0.2,0.029
OI000216,O000088,P0134,4,36.76,0.15,0.07
OI000217,O000088,P0096,4,134.02,0.1,0.07
OI000218,O000088,P0097,1,157.71,0.0,0.07
OI000219,O000089,P0190,3,12.66,0.1,0.05125
OI000220,O000089,P0052,3,33.75,0.05,0.05125
OI000221,O000090,P0177,2,52.74,0.2,0.07
OI000222,O000090,P0167,4,59.24,0.15,0.07
OI000223,O000091,P0119,3,110.33,0.0,0.07
OI000224,O000091,P0026,2,45.55,0.1,0.07
OI000225,O000091,P0138,1,164.4,0.0,0.07
OI000226,O000091,P0014,5,20.2,0.15,0.07
OI000227,O000092,P0085,4,133.06,0.2,0.089
OI000228,O000092,P0130,3,27.54,0.15,0.089
OI000229,O000093,P0173,3,33.99,0.15,0.07
OI000230,O000093,P0078,2,58.27,0.0,0.07
OI000231,O000093,P0025,2,51.76,0.15,0.07
OI000232,O000093,P0114,3,58.7,0.15,0.07
OI000233,O000094,P0084,4,131.12,0.1,0.06
OI000234,O000094,P0133,3,82.89,0.05,0.06
OI000235,O000095,P0109,4,70.06,0.1,0.07
OI000236,O000095,P0145,1,24.43,0.05,0.07
OI000237,O000095,P0101,2,105.6,0.05,0.07
OI000238,O000096,P0056,5,19.91,0.05,0.0815
OI000239,O000096,P0159,1,22.43,0.0,0.0815
OI000240,O000097,P0071,4,102.66,0.0,0.05125
OI000241,O000097,P0138,4,155.37,0.2,0.05125
OI000242,O000097,P0095,1,61.6,0.2,0.05125
OI000243,O000098,P0143,1,8.46,0.0,0.0
OI000244,O000098,P0136,3,83.52,0.05,0.0
OI000245,O000098,P0075,4,61.01,0.0,0.0
OI000246,O000099,P0125,5,84.07,0.15,0.08
OI000247,O000099,P0013,4,47.41,0.15,0.08
OI000248,O000099,P0136,3,81.44,0.1,0.08
OI000249,O000099,P0016,3,190.25,0.2,0.08
OI000250,O000100,P0071,2,98.45,0.0,0.0625
OI000251,O000100,P0120,2,30.42,0.05,0.0625
OI000252,O000100,P0116,4,37.93,0.2,0.0625
OI000253,O000100,P0190,4,13.11,0.1,0.0625
OI000254,O000101,P0168,5,74.37,0.2,0.05125
OI000255,O000101,P0171,5,46.32,0.0,0.05125
OI000256,O000101,P0052,2,32.68,0.0,0.05125
OI000257,O000101,P0198,1,47.37,0.0,0.05125
OI000258,O000102,P0198,1,44.39,0.1,0.089
OI000259,O000102,P0091,4,85.72,0.2,0.089
OI000260,O000103,P0192,2,34.03,0.0,0.0625
OI000261,O000103,P0082,5,14.47,0.05,0.0625
OI000262,O000103,P0107,5,99.42,0.1,0.0625
OI000263,O000104,P0167,1,63.96,0.1,0.07
OI000264,O000104,P0077,1,110.31,0.05,0.07
OI000265,O000104,P0059,3,126.41,0.0,0.07
OI000266,O000104,P0180,1,91.19,0.0,0.07
OI000267,O000105,P0094,2,8.35,0.0,0.077
OI000268,O000105,P0029,3,17.9,0.05,0.077
OI000269,O000106,P0138,1,160.05,0.1,0.0825
OI000270,O000106,P0113,3,59.95,0.2,0.0825
OI000271,O000106,P0035,5,75.8,0.0,0.0825
OI000272,O000106,P0155,5,13.34,0.0,0.0825
OI000273,O000107,P0195,4,37.11,0.0,0.06625
OI000274,O000107,P0034,5,42.55,0.0,0.06625
OI000275,O000107,P0084,4,130.68,0.0,0.06625
OI000276,O000108,P0161,4,99.04,0.0,0.05125
OI000277,O000108,P0148,4,163.58,0.15,0.05125
OI000278,O000109,P0170,5,124.77,0.05,0.0
OI000279,O000109,P0025,4,55.49,0.15,0.0
OI000280,O000109,P0172,2,57.87,0.1,0.0
OI000281,O000109,P0088,1,46.82,0.2,0.0
OI000282,O000110,P0051,3,121.4,0.0,0.0625
OI000283,O000111,P0193,2,23.34,0.15,0.06
OI000284,O000111,P0184,4,35.03,0.05,0.06
OI000285,O000112,P0054,5,72.63,0.0,0.029
OI000286,O000112,P0188,4,17.38,0.1,0.029
OI000287,O000112,P0157,2,144.76,0.0,0.029
OI000288,O000113,P0053,2,25.59,0.05,0.08
OI000289,O000113,P0114,1,61.76,0.15,0.08
OI000290,O000114,P0040,3,79.25,0.0,0.029
OI000291,O000114,P0019,4,96.8,0.05,0.029
OI000292,O000114,P0194,1,37.4,0.1,0.029
OI000293,O000114,P0185,5,15.32,0.2,0.029
OI000294,O000115,P0015,3,17.48,0.2,0.07
OI000295,O000115,P0164,3,25.3,0.2,0.07
OI000296,O000115,P0027,5,43.03,0.2,0.07
OI000297,O000115,P0198,3,50.76,0.0,0.07
OI000298,O000116,P0156,1,43.31,0.15,0.07
OI000299,O000116,P0133,1,87.7,0.0,0.07
OI000300,O000116,P0171,2,47.96,0.2,0.07
OI000301,O000116,P0098,5,139.6,0.1,0.07
OI000302,O000117,P0007,3,39.15,0.1,0.089
OI000303,O000117,P0162,1,14.19,0.05,0.089
OI000304,O000118,P0190,3,12.89,0.0,0.1025
OI000305,O000118,P0103,4,13.87,0.05,0.1025
OI000306,O000118,P0193,3,23.62,0.2,0.1025
OI000307,O000119,P0090,2,243.52,0.05,0.06
OI000308,O000119,P0087,1,39.73,0.15,0.06
OI000309,O000119,P0113,3,67.91,0.2,0.06
OI000310,O000119,P0093,5,45.84,0.15,0.06
OI000311,O000120,P0027,5,47.57,0.05,0.0725
OI000312,O000120,P0189,2,40.22,0.0,0.0725
OI000313,O000120,P0076,2,71.98,0.2,0.0725
OI000314,O000120,P0158,3,161.43,0.0,0.0725
OI000315,O000121,P0107,2,104.51,0.15,0.08875
OI000316,O000121,P0143,5,8.84,0.15,0.08875
OI000317,O000121,P0142,4,36.3,0.2,0.08875
OI000318,O000121,P0146,3,58.25,0.05,0.08875
OI000319,O000122,P0138,2,154.38,0.15,0.1025
OI000320,O000122,P0149,5,63.48,0.15,0.1025
OI000321,O000123,P0017,3,57.11,0.2,0.0825
OI000322,O000123,P0175,3,26.88,0.2,0.0825
OI000323,O000124,P0085,5,142.24,0.0,0.0815
OI000324,O000124,P0060,5,41.53,0.15,0.0815
OI000325,O000124,P0146,3,58.77,0.15,0.0815
OI000326,O000125,P0187,1,24.03,0.15,0.06
OI000327,O000125,P0031,4,15.32,0.1,0.06
OI000328,O000125,P0085,4,125.08,0.05,0.06
OI000329,O000125,P0023,2,101.19,0.05,0.06
OI000330,O000126,P0006,5,43.6,0.05,0.1025
OI000331,O000126,P0156,1,40.36,0.15,0.1025
OI000332,O000126,P0016,1,173.1,0.1,0.1025
OI000333,O000127,P0147,2,49.72,0.1,0.0825
OI000334,O000127,P0046,1,26.56,0.15,0.0825
OI000335,O000127,P0113,1,66.87,0.05,0.0825
OI000336,O000128,P0155,5,14.96,0.1,0.077
OI000337,O000128,P0040,5,78.73,0.1,0.077
OI000338,O000129,P0169,1,76.62,0.0,0.0825
OI000339,O000129,P0182,3,102.08,0.15,0.0825
OI000340,O000129,P0194,5,37.85,0.15,0.0825
OI000341,O000129,P0152,4,80.69,0.2,0.0825
OI000342,O000130,P0144,4,71.33,0.05,0.1025
OI000343,O000130,P0124,1,150.54,0.0,0.1025
OI000344,O000130,P0157,2,148.81,0.05,0.1025
OI000345,O000131,P0190,5,12.08,0.2,0.07
OI000346,O000131,P0131,2,11.59,0.0,0.07
OI000347,O000131,P0135,3,101.2,0.0,0.07
OI000348,O000131,P0046,5,26.64,0.0,0.07
OI000349,O000132,P0109,3,72.49,0.2,0.08
OI000350,O000132,P0175,3,26.19,0.0,0.08
OI000351,O000132,P0147,4,52.23,0.1,0.08
OI000352,O000133,P0126,2,9.77,0.0,0.07
OI000353,O000133,P0018,3,43.7,0.2,0.07
OI000354,O000134,P0133,4,86.36,0.0,0.1025
OI000355,O000134,P0010,2,97.49,0.1,0.1025
OI000356,O000135,P0186,1,50.34,0.0,0.077
OI000357,O000135,P0082,3,15.65,0.05,0.077
OI000358,O000136,P0086,4,189.64,0.1,0.077
OI000359,O000136,P0169,1,76.57,0.15,0.077
OI000360,O000137,P0186,3,46.11,0.0,0.1025
OI000361,O000137,P0083,2,108.68,0.0,0.1025
OI000362,O000138,P0176,4,40.39,0.0,0.07
OI000363,O000138,P0158,5,167.68,0.2,0.07
OI000364,O000138,P0100,2,211.21,0.05,0.07
OI000365,O000139,P0103,3,12.51,0.1,0.08
OI000366,O000139,P0033,4,23.79,0.1,0.08
OI000367,O000140,P0187,5,21.94,0.1,0.0625
OI000368,O000140,P0169,5,76.79,0.1,0.0625
OI000369,O000141,P0169,5,71.79,0.1,0.089
OI000370,O000141,P0099,1,89.07,0.1,0.089
OI000371,O000142,P0196,3,115.8,0.15,0.0
OI000372,O000142,P0125,5,89.04,0.0,0.0
OI000373,O000143,P0017,3,62.2,0.1,0.0625
OI000374,O000143,P0093,4,46.16,0.0,0.0625
OI000375,O000143,P0160,3,44.49,0.15,0.0625
OI000376,O000144,P0114,1,56.92,0.1,0.07
OI000377,O000144,P0025,4,51.39,0.0,0.07
OI000378,O000145,P0163,3,56.1,0.0,0.08
OI000379,O000145,P0083,3,119.95,0.1,0.08
OI000380,O000146,P0180,3,96.17,0.1,0.07
OI000381,O000146,P0079,3,180.25,0.2,0.07
OI000382,O000147,P0098,3,145.82,0.05,0.08875
OI000383,O000147,P0100,3,223.09,0.1,0.08875
OI000384,O000147,P0010,4,108.76,0.0,0.08875
