payment_id,order_id,payment_date,payment_method,provider,transaction_id,amount,status
PMT000001,O000001,2024-03-27,Card,Adyen,TXN-000001,1784.55,Paid
PMT000002,O000002,2024-03-05,PayPal,PayPal,TXN-000002,653.34,Paid
PMT000003,O000003,2024-03-13,PayPal,PayPal,TXN-000003,859.03,Paid
PMT000004,O000004,2024-01-19,PayPal,Stripe,TXN-000004,344.98,Paid
PMT000005,O000005,2024-02-27,BankTransfer,Stripe,TXN-000005,1168.72,Paid
PMT000006,O000006,2024-04-21,Wallet,Stripe,TXN-000006,739.86,Paid
PMT000007,O000007,2024-06-07,Wallet,Stripe,TXN-000007,0.0,Pending
PMT000008,O000008,2024-03-10,Wallet,Adyen,TXN-000008,804.01,Paid
PMT000009,O000009,2024-01-02,PayPal,Adyen,TXN-000009,66.13,Paid
PMT000010,O000010,2024-02-03,PayPal,Adyen,TXN-000010,1287.23,Paid
PMT000011,O000011,2024-05-02,Card,Braintree,TXN-000011,722.65,Paid
PMT000012,O000012,2024-04-29,BankTransfer,Braintree,TXN-000012,1447.69,Paid
PMT000013,O000013,2024-04-11,Card,Braintree,TXN-000013,400.61,Refunded
PMT000014,O000014,2024-04-09,BankTransfer,Braintree,TXN-000014,76.06,Refunded
PMT000015,O000015,2024-05-16,Wallet,Stripe,TXN-000015,33.55,Paid
PMT000016,O000016,2024-05-01,Card,Braintree,TXN-000016,456.76,Paid
PMT000017,O000017,2024-03-16,Card,Braintree,TXN-000017,738.61,Paid
PMT000018,O000018,2024-02-21,Card,PayPal,TXN-000018,0.0,Pending
PMT000019,O000019,2024-04-16,BankTransfer,Adyen,TXN-000019,0.0,Pending
PMT000020,O000020,2024-01-15,BankTransfer,PayPal,TXN-000020,1289.05,Paid
PMT000021,O000021,2024-05-31,Wallet,Adyen,TXN-000021,53.14,Paid
PMT000022,O000022,2024-02-04,BankTransfer,Adyen,TXN-000022,419.17,Paid
PMT000023,O000023,2024-06-16,Wallet,PayPal,TXN-000023,61.11,Paid
PMT000024,O000024,2024-05-21,Wallet,PayPal,TXN-000024,438.88,Paid
