order_id,order_date,customer_id,product_id,quantity,unit_price,discount,tax,shipping_cost,total_amount
O001,2024-01-05,C001,P001,2,29.99,0.00,4.80,5.99,70.77
O002,2024-01-10,C002,P003,1,39.99,0.10,3.24,4.99,44.22
O003,2024-01-15,C003,P005,3,18.99,0.00,4.56,3.99,65.52
O004,2024-01-20,C001,P007,1,79.99,0.15,5.44,5.99,79.42
O005,2024-02-01,C004,P002,4,24.99,0.20,6.40,4.99,91.35
O006,2024-02-10,C005,P004,1,49.99,0.00,4.00,5.99,59.98
O007,2024-02-15,C002,P006,2,34.99,0.05,5.32,4.99,76.79
O008,2024-02-20,C006,P008,1,89.99,0.10,6.48,6.99,94.47
O009,2024-03-01,C007,P010,1,59.99,0.00,4.80,5.99,70.78
O010,2024-03-05,C008,P001,3,29.99,0.05,6.84,5.99,98.37
O011,2024-03-10,C009,P003,2,39.99,0.00,6.40,4.99,91.37
O012,2024-03-15,C010,P007,1,79.99,0.20,5.12,5.99,75.10
O013,2024-03-20,C001,P005,5,18.99,0.10,6.84,3.99,96.26
O014,2024-04-01,C003,P002,2,24.99,0.00,4.00,4.99,58.97
O015,2024-04-10,C005,P009,1,29.99,0.00,2.40,5.99,38.38
O016,2024-04-15,C002,P004,1,49.99,0.05,3.80,5.99,57.28
O017,2024-04-20,C006,P006,3,34.99,0.10,7.56,4.99,106.77
O018,2024-05-01,C008,P008,1,89.99,0.00,7.20,6.99,104.18
O019,2024-05-10,C009,P010,2,59.99,0.15,8.16,5.99,116.13
O020,2024-05-15,C010,P001,1,29.99,0.00,2.40,5.99,38.38

