return_id,order_id,order_item_id,return_date,return_reason,return_status,refund_amount
RTN000001,O000013,OI000034,2024-04-20,CancelledOrder,Approved,262.78
RTN000002,O000013,OI000036,2024-04-18,CancelledOrder,Approved,105.46
RTN000003,O000014,OI000038,2024-04-16,CancelledOrder,Approved,24.39
RTN000004,O000032,OI000075,2024-06-21,ChangedMind,Approved,31.77
RTN000005,O000055,OI000134,2024-06-26,CancelledOrder,Approved,164.39
RTN000006,O000079,OI000193,2024-06-24,ChangedMind,Approved,198.92
RTN000007,O000079,OI000194,2024-06-27,Defective,Approved,203.76
RTN000008,O000102,OI000258,2024-03-01,ChangedMind,Approved,70.52
RTN000009,O000104,OI000265,2024-04-16,CancelledOrder,Approved,122.97
RTN000010,O000104,OI000266,2024-04-16,CancelledOrder,Approved,201.72
RTN000011,O000105,OI000267,2024-02-17,ChangedMind,Approved,15.22
RTN000012,O000105,OI000268,2024-02-19,SizeIssue,Approved,38.11
RTN000013,O000106,OI000270,2024-01-29,ChangedMind,Approved,185.53
RTN000014,O000122,OI000320,2024-04-18,ChangedMind,Approved,47.06
RTN000015,O000131,OI000345,2024-03-04,SizeIssue,Approved,202.19
RTN000016,O000138,OI000364,2024-07-01,CancelledOrder,Approved,283.26
RTN000017,O000144,OI000376,2024-03-17,Defective,Approved,176.08
RTN000018,O000144,OI000377,2024-03-24,ChangedMind,Approved,67.59
RTN000019,O000192,OI000483,2024-03-20,ChangedMind,Approved,236.35
RTN000020,O000203,OI000506,2024-03-16,CancelledOrder,Approved,324.9
RTN000021,O000210,OI000530,2024-02-19,CancelledOrder,Approved,26.92
RTN000022,O000226,OI000572,2024-04-17,Defective,Approved,141.14
RTN000023,O000238,OI000602,2024-03-12,CancelledOrder,Approved,86.23
RTN000024,O000262,OI000648,2024-03-05,ChangedMind,Approved,156.33
RTN000025,O000262,OI000649,2024-03-15,LateDelivery,Approved,276.64
RTN000026,O000288,OI000716,2024-06-26,SizeIssue,Approved,3.35
RTN000027,O000290,OI000721,2024-06-12,Defective,Approved,97.58
RTN000028,O000302,OI000748,2024-06-13,CancelledOrder,Approved,96.44
RTN000029,O000318,OI000800,2024-07-04,CancelledOrder,Approved,207.56
RTN000030,O000334,OI000838,2024-06-07,ChangedMind,Approved,128.12
RTN000031,O000341,OI000855,2024-05-31,CancelledOrder,Approved,226.81
RTN000032,O000342,OI000858,2024-06-16,CancelledOrder,Approved,93.36
RTN000033,O000352,OI000887,2024-04-19,CancelledOrder,Approved,37.62
RTN000034,O000368,OI000932,2024-03-20,LateDelivery,Approved,40.95
RTN000035,O000373,OI000948,2024-04-09,CancelledOrder,Approved,33.78
RTN000036,O000376,OI000954,2024-01-26,ChangedMind,Approved,231.88
RTN000037,O000376,OI000955,2024-01-23,ChangedMind,Approved,493.23
RTN000038,O000397,OI001008,2024-03-19,CancelledOrder,Approved,69.69
RTN000039,O000398,OI001012,2024-04-20,Defective,Approved,270.99
RTN000040,O000405,OI001032,2024-04-12,SizeIssue,Approved,122.01
RTN000041,O000405,OI001033,2024-03-30,ChangedMind,Approved,233.73
RTN000042,O000411,OI001050,2024-04-26,CancelledOrder,Approved,87.66
RTN000043,O000414,OI001059,2024-02-23,CancelledOrder,Approved,385.66
RTN000044,O000435,OI001110,2024-04-10,LateDelivery,Approved,163.01
RTN000045,O000440,OI001122,2024-02-22,CancelledOrder,Approved,49.06
RTN000046,O000457,OI001162,2024-03-18,LateDelivery,Approved,79.07
RTN000047,O000459,OI001165,2024-05-21,CancelledOrder,Approved,209.54
