_id,device_id,network,last_change_to_online,last_change_to_offline,total_minutes_online,total_minutes_offline,_class
net_000,dev_000,LAN,1768218481088,1768214881088,5000,1200,device_network_stats
net_001,dev_001,LAN,1768218481088,1768214881088,5010,1205,device_network_stats
net_002,dev_002,LAN,1768218481088,1768214881088,5020,1210,device_network_stats
net_003,dev_003,LAN,1768218481088,1768214881088,5030,1215,device_network_stats
net_004,dev_004,LAN,1768218481088,1768214881088,5040,1220,device_network_stats
net_005,dev_005,LAN,1768218481088,1768214881088,5050,1225,device_network_stats
net_006,dev_006,LAN,1768218481088,1768214881088,5060,1230,device_network_stats
net_007,dev_007,LAN,1768218481088,1768214881088,5070,1235,device_network_stats
net_008,dev_008,LAN,1768218481088,1768214881088,5080,1240,device_network_stats
net_009,dev_009,LAN,1768218481088,1768214881088,5090,1245,device_network_stats
net_010,dev_010,LAN,1768218481088,1768214881088,5100,1250,device_network_stats
net_011,dev_011,LAN,1768218481088,1768214881088,5110,1255,device_network_stats
net_012,dev_012,LAN,1768218481088,1768214881088,5120,1260,device_network_stats
net_013,dev_013,LAN,1768218481088,1768214881088,5130,1265,device_network_stats
net_014,dev_014,LAN,1768218481088,1768214881088,5140,1270,device_network_stats
net_015,dev_015,LAN,1768218481088,1768214881088,5150,1275,device_network_stats
net_016,dev_016,LAN,1768218481088,1768214881088,5160,1280,device_network_stats
net_017,dev_017,LAN,1768218481088,1768214881088,5170,1285,device_network_stats
net_018,dev_018,LAN,1768218481088,1768214881088,5180,1290,device_network_stats
net_019,dev_019,LAN,1768218481088,1768214881088,5190,1295,device_network_stats
