_id,org_id,package_id,coreq_package_id,package_name,package_description,package_version,current_installed_version,package_release_date,package_vendor,package_type,package_severity,package_reboot_type,package_size,disk_space_required,package_tips,readme_url,license_url,created_at,last_modified_date,_class,test_state,test_state_last_changed_by_user_at,category,created_at__v_text,last_modified_date__v_text,groups,test_ring_set_id
sysupd2_000,org_123,pkg_000,coreq_000,System Update 0,Next generation system update,2.0.0,2.0.0,1768135998671,VendorCorp,OS,Critical,Required,200000,400000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,completed,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_000
sysupd2_001,org_123,pkg_001,coreq_001,System Update 1,Next generation system update,2.1.0,2.0.0,1768049598671,VendorCorp,OS,Moderate,Required,205000,408000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_001
sysupd2_002,org_123,pkg_002,coreq_002,System Update 2,Next generation system update,2.2.0,2.1.0,1767963198671,VendorCorp,OS,Critical,Required,210000,416000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_002
sysupd2_003,org_123,pkg_003,coreq_003,System Update 3,Next generation system update,2.3.0,2.2.0,1767876798671,VendorCorp,OS,Moderate,Required,215000,424000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,completed,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_003
sysupd2_004,org_123,pkg_004,coreq_004,System Update 4,Next generation system update,2.4.0,2.3.0,1767790398671,VendorCorp,OS,Critical,Required,220000,432000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_004
sysupd2_005,org_123,pkg_005,coreq_005,System Update 5,Next generation system update,2.5.0,2.4.0,1767703998671,VendorCorp,OS,Moderate,Required,225000,440000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_005
sysupd2_006,org_123,pkg_006,coreq_006,System Update 6,Next generation system update,2.6.0,2.5.0,1767617598671,VendorCorp,OS,Critical,Required,230000,448000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,completed,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_006
sysupd2_007,org_123,pkg_007,coreq_007,System Update 7,Next generation system update,2.7.0,2.6.0,1767531198671,VendorCorp,OS,Moderate,Required,235000,456000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_007
sysupd2_008,org_123,pkg_008,coreq_008,System Update 8,Next generation system update,2.8.0,2.7.0,1767444798671,VendorCorp,OS,Critical,Required,240000,464000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_008
sysupd2_009,org_123,pkg_009,coreq_009,System Update 9,Next generation system update,2.9.0,2.8.0,1767358398671,VendorCorp,OS,Moderate,Required,245000,472000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,completed,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_009
