plugin_id	plugin_name
1	PF.Magic's Petz 3 Player
2	Headspace Beatnik Player Stub V1.0.0.1
3	ZingWeb Plug-in for Netscape
4	Windows Media Player Plug-in
5	Parable ThingViewer 1.0
6	Cosmo Player 2.1
7	Adobe Acrobat
8	Microsoft ActiveX Portability Container (NPWrap)
9	VDOLive small plugin
10	RealPlayer G2 LiveConnect (32-bit)
11	Shockwave Flash
13	QuickTime Plug-In
16	CorporateTime vCalendar Plug-in
17	Comet Cursor
18	LivePicture Viewer
20	PNG Live
21	VivoActive Player Version 2.1
22	Cosmo Player 2.0
23	Netscape Media Player
24	Shockwave for Director
25	Eloquent Presenter! Netscape Plug-In
26	RealPlayer(tm) LiveConnect-Enabled Plug-In (32-bit)
28	RealPlayer(tm) G2 LiveConnect-Enabled Plug-In (32-bit) Version 6.0
30	CBT Systems Dynamo Client Plugin
31	Headspace Beatnik Helper Plugin V1.0.1
33	PDFViewer
35	RealPlayer Plugin
36	QuickTime Plug-in 2.0
37	Vivo Plugin
38	Enliven Viewer 1.5
39	Toolvox Player 2.2
40	Viscape for Netscape Navigator
41	Viscape Universal
42	SmartDownload
43	Cosmo Player 1.0
46	Netscape vCalendar Plug-in
48	Shockwave Flash 2.0
50	RealPlayer(tm) LiveConnect-Enabled Plug-In (32-bit) Version 5.0
51	RealVR Traveler
54	mBED Plug-in
56	mBED Plugin 68K
58	Interactive Pictures Corp. IPIX Plugin v5.330
59	NetMetrics WebTurbo
61	Shockwave for Authorware
62	Xtratek Billboard 97 Plugin
63	RealPlayer(tm) LiveConnect-Enabled Plug-In (32-bit) Version 4.01
65	Xara graphic plug-in
67	Movieplayer
72	Banner Plugin
74	Word Perfect Graphics Viewer Plugin
77	Word Perfect Viewer Plugin
78	Juice Plugin
79	Java Plug-in 1.2 for Netscape Navigator
80	Java Plug-in 1.2.1 for Netscape Navigator
81	IPIX PlugIn PPC V5.304
84	SoftWatch Ltd., HealthWatch Database Interface
88	InstallFromTheWeb Plugin
89	Wavelet Image Plugin
90	CyberCore Entrance Client 1.0
91	Cult3D Plugin v2.0.0
93	WebTracks World Wide Web Soundtrack Plugin
94	AnimaFlex(TM) Netscape Navigator(TM) Plug-in. www.RubberFlex.com
95	MPen ClickToons Plug-In
96	Word Viewer Plug-in
98	RealAudio
99	FutureSplashPM
100	ImagN' for Windows v3.20.023 32-Bit Netscape Plug-in
101	Netzip
102	Parable ThingViewer 1.1
104	EBCard Plugin
105	Tumbleweed Envoy Plugin for Netscape Navigator
106	Compassware Plugin
107	Post-it(R) Software Notes
108	blaxxun CC3D Version 3.08
109	blaxxun CCpro Version 3.08
110	blaxxun CC3D pro Version 3.08
111	IDT Net2Phone Plugin
114	StreamWorks Player
116	VDOLive Plug-in
117	VXtreme WebTheater
118	InterVU IVU Player
119	InterVU Plugin program runner
120	InterVU Plug-in MPEG Player
122	InterVU IVX
124	NET TOOB Stream Plugin
129	Interactive Pictures Corp. IPIX Plugin v5.308
130	NPTalker Netscape Plug-in
132	VivoActive Player Version 2.11
133	Hummingbird X Web Remote Activation Plug-in
134	Microsoft NetShow Player 2.0 Plug-In
135	Audible Download Plugin
136	Audible Sampler Plugin
137	Quicken 99 for Windows
138	BookmarkViewer Plugin
140	Microsoft Home Publishing Version Checker PlugIn
142	Internet Streaming Bamba Video/Audio Player
143	GrafixView Netscape Plugin
144	VivoActive Player Version 2.01
147	Citrix WinFrame Client
148	Quake2 Server Plugin
150	BrowserApp
154	CoolSave Plugin
155	Cult3D Plugin v3.1.0.1
156	IconAuthor Plugin
160	VDOLive Player Plugin
161	RealPlayer(tm) LiveConnect-Enabled Plug-In (32-bit) Version 6.0
165	RealPlayerG2 Plugin
166	GatherTalk Plugin
167	Mod Plugin
168	Look@Me Timbuktu Plugin
169	Crescendo 2.0
170	Intel Streaming Media Viewer
177	Autodesk MapGuide
178	PI Current Member Plugin
180	Atomic3D Player
181	Beatnik Player V2.0.0
182	HyperCD(tm) Plugin
183	The PointCast Network
184	ReachOut Passport
185	Virtual Places 3.0 Plugin
187	vCalendar Plug-in
189	ToolVox Player
190	Broadcast Plug-in
191	7th Level, Inc. Player Version 2.0.0.3
192	7th Level, Inc. Media Controller 7 Version 2.0.1.5
193	WebGlide Player v1.01.0066
194	Quick View Plus for Windows 98, Windows 95 and Windows NT 4.0
196	Netopia Plug-in
197	DepthCharge Plugin
198	ichat PPC
199	LiveUpdate Crescendo version 4.0RC1
200	PhoneFree Bubble Chat 4.3
201	PhoneFree 4.3
202	DigitalRiver Download Wizard
203	MediaForge ~Mirage  Plugin
204	Shockwave Graphics player
205	HouseCall for Netscape Plug-In
206	Chemscape Chime 2.0
207	CBT Systems cknet
208	Live Picture Viewer
210	Java(TM) Plug-in 1.1.1 c
211	RX Plug-in
214	Intuit Canada Ltd. Open Financial Exchange File Plugin
215	Microsoft PowerPoint Animation Player for Windows 95
217	WebFavorites Plugin
220	VivoActive Player Version 2.02
221	ThingViewer 1.2.2
222	ActivePresenter
223	GameTV Plugin
224	LiveUpdate Crescendo version 3.0 Beta 3
225	Cosmo Player 2.1.1 from PLATINUM technology, inc.
226	Verity XML Viewer
227	VXtreme LiveScreen
229	mBED Plugin PPC
230	AVStillImage Internet 3.1
232	NetManage Remote X Activation Plugin
233	Formula One/NET Plug-in
234	SimCity Classic Plugin
235	TMSSequoia ViewDirector Prizm Plug-in, Demonstration Version 2.2+
236	Crescendo Plus 2.1 Beta 1
237	InterVU PPC 1.49L
238	PanoramIX Plugin
239	Smart Seek
240	WorldView Plugin
241	Intellitrip Plug-in V 1.01
242	VDOnet Lite VDO
243	PanoramIX Plugin for Netscape Navigator for Windows 95 and Windows NT
244	ProjectX Plug-in
245	Canyon Software - Browse And Zip Plugin
246	MIDPLUG for XG v1.00
247	Headspace Beatnik Plugin V1.1.7
250	VRealm Netscape Plugin
251	Headspace Beatnik Plugin V1.1.6
252	Chemscape CHIME
256	Pegasus Netscape Navigator JPEG Plugin
257	Jutvision Plugin
258	SCREAM Netscape Plugin
259	Live3D 2.0
260	BubbleChat 4.1
261	CryptoLogic Ecash Plugin
263	PhoneFree 3.0
264	7th Level, Inc. Media Controller 7 Version 2.0.1.3
265	NEURON
266	VocalTec Surf&Call (Silicon)
268	Interactive Pictures Corp. IPIX Plugin v5.325
270	Intel(R) WebOutfitter(SM) Service Verification Utility
271	Indeo 5.0 Progressive Download Plug-In
272	Opal Plug-In v2.1.510
273	Opal Delta Update Plug-In
274	VivoActive Player Version 2.0
278	Headspace Beatnik Plugin V1.3.2
279	Tcl Plugin 2.0
280	Quake Server Plugin
281	Surfbot Plugin
282	MorphInk
283	Navigator FreeHand Plugin
284	blaxxun Community Client pro
285	blaxxun Community Client 3D pro
286	Intel Additive Effect Plugin
287	FutureSplash
288	WarpSpace VRML 1.0 Plugin. Beta 3. Build 377
289	OS/2 Null Plugin
290	Sausage Software AutoDownloader
294	PhoneFree(TM)
295	Update AnyWare
296	RealPlayer(tm) Plug-In (16-bit) Version 5.0
297	Flatland Rover
299	RealAudio PlugIn
300	Trudef Image Pro Plugin--V4.0
302	RealAudio(tm) Plug-In (16-bit) Version 3.0
305	Prodigy Popup Menu Plugin
306	Quick View Plus for Windows 95 and Windows NT 4.0
307	Oracle Video Client
308	Oracle Video Client Installer
309	LiveUpdate Crescendo version 4.0B6
310	Interactive Pictures Corp. IPIX Plugin v4.00 b5
313	Intel IndeoR video 5.0 PD Plug-In
314	Microsoft VM for Java
316	BankNOW
317	YAMAHA SoundVQ[TM] Plug-in
320	RealVideo Player plugin
321	ThingViewer 1.2.1
322	Quick View Plus for Windows 95
323	Updates.com
325	MacZilla! Plug-in 4.0
326	Shockwave Flash PM
327	WebTheater Plugin
328	Microsoft Surround Video ActiveX Library
329	7th Level, Inc. Media Controller 7 Version 2.0.1.1
330	Calendar Quick Plugin
332	NET-Install Plug-in
334	MIDPLUG for XG ver 1.00
335	Street Technologies STRunner for Netscape
336	MetaStream
338	Logal Action Plug-in
339	Cult3D Plugin v3.1.0
340	VisualSHOCK MOVIE 2.0
341	QT MIDI Plugin 1.0
343	PointPlus
344	Vitalize
345	Sharp EVA Animater Plug-in
346	RichLink View for Windows Plug-In
347	PCmag update plugin
352	Ulead Systems COOL 360 Plug-in
