class,site,corp_item_no,month_over_month_sales_growth,trending_rank,badge
9YDCUNZHAINHB3P6RDT0UZ9JSH5WCRYQVP3PI7YRG9QTQDJ7XM,1,859105,7235.8257,9353172,7LZXU2FJU2V81HIWQI8LC7DNGH1SJQ4JG
ZL8PR7DSKQ1EQ9DAYO6JP99TVKIM34KRO786B7HLBZ1,1,439433,1962.7990,5035207,3O480KKIOJQCIRURH6T9OXPQ7I2P5SFTQ9WJU1D2GYGYENI41
NJW1DD63Z4A0M7T1V2VY0QNNM5J3PJOG0O5HQNMWX4BDHSS6FBGP,1,359671,596.8002,2498130,EVPZUK7Z9P7I9Z5ZVRWFW5PB75W5MXY6Z7IB8NEMGC5BHLO1FHQ2EEUX
MLWCP863IQFY8N6NUG,20,64616,8944.1175,1420150,3N1CJ2MWK0Z9J34UBZ7653TFTFE
JTMXBYB92XFSISNYJGGFYMNALPAO79F,60,715328,4337.0658,4033247,FFO6ZLERHSV6
01TSH,170,715328,3808.9599,7517987,L4VRK2FI1TAK6NVX4BCGM3WKW
QRDSVJMTFS2Z6QALE960BMB5FIHDVJOM201MXL5JBYF2YTAEJUDVCHQF,1,987341,7172.2910,807581,YXA92NB98431DQLG
90J6B89,1,521801,9375.4528,4050413,BGT3
Q4MA6QG0U,20,123783,7373.7835,2706940,GSAWQTQFMXP1XESJN5RUX521SWVH
27PT8OV7ILBMGYPVF8Q8UB5BT7YRFJXV7KASRV,170,405531,1270.2429,2796724,NJ6G0EJRKAVNMTTXXV80KCMSC0EBMAPNXTFQGJGT3ZNOMAA
ELPUTC30I47U7V3SF9CJDXP06HA1SWKUYXNODQJ9GUUSAK6JDO,1,624241,3199.8168,2814551,PABEFS8506VFTD6H7PDA6O2W0AAXHE8SBQMPMK2SN6P7Z49U41WP7ALN
ZN6MERA1TUHXXN3N6RKUXQ9UVTO5V3VM8KEK61KB6JFF,60,679563,1545.0197,8478988,F7Q1
0O2DWQTGZAP0DPI7ZXP0M3B1FDY1KBMM4PYOTJLN014PKEIRHAFZJT,20,752438,5780.1442,3295839,DQVE23S1N7GS36VL2BBQYJM7355LMIK0G78AKHB3T6TUSSTL1KHOBSM5B97
W0W,20,42111,7443.3277,4317308,3KOSRJELKGBR7OSEVSUFD3S1I
KSOLQDU09YXNYRN7,170,123783,427.5685,3223518,XVLOGEUWEXP3VB7BZ7LXP5IVYW8DV6U
5GOIP0SVH3HXXLMAUT4AU9HUCU3VHXTN1ICB9OI9SJXYMI2V7OILUHQYMVF,20,702133,60.4698,7229295,NUXG89G02ADKANZ9011AVM
T9538KAD9432N,1,697414,6699.1694,4126944,R61OB
H7HS1IT,170,518674,-4308.9608,8319212,5FSIEG10Z7Y312FZQRWQ2V9X65BZGV50C105DMJ8CKJS1T5KR2C69
3ELPN3FOMRYF6ZIR7I7UHPWEAF27JE3YTML4LWVZNWC2ZJRLCZFSK209EN0,1,468288,8691.2559,2766825,CBYOX0BQKQ5
EY834NH0,20,859105,2345.2023,6230377,BA9C9FCO9MR1PIQ0NYPZ9AKQW5H01UWSB497VW0SCU
H3SVULV6F8933DY8O6YDT0IROPE54GP8EVXUKP0BUUGHFWI8DH549F6DHY4,170,284051,396.6953,2178464,VD8FFONS2X99X3W44DFZUOCIN
EEJZOD8LGRML59WYNJ,60,919005,5485.4446,9377435,84IQQ
TBCYUE,20,624241,4157.6315,6257679,1SRO6E29DZ699Z3Q4575N5OIDC6BLL4Q
HS3N3219PI0U0B77B7EN5COC32PB47UOX3XJUUCR5QX2GE2P,60,859105,5378.6032,721372,XLBY78E610B
ABW,60,73103,4483.1443,2557393,64EPF3ECR5HA7BQHVHKYG458RTVY7XX3WTLVP9BHR34G9UR96V03KV4BLMN
KDAE4J2Q1CT8INVDFZT7AUKDE2X4P46NAKNZ16GUE0NU,1,405531,8241.2905,3836100,GDYIMD5KHVZAOPVWZ22S54V0
DJRVUFJ11L5YABCWDLXFIMMDGQE,60,987341,2080.8527,7032732,9N5WY1WW
42E2HTQ1MI7TJDKY6RZ2NSTSLD6445II5Q94YFRI8HKK40V2IEUYK555W,170,82390,9109.9995,5184003,1XZJMKIVZC5AA0U23ORJI6FKPKZQXX4C6WWUWV7CMLTB9RF1T13TA
7SWAOVKI4TI9AIXUYMZ986QQTZ3EP919Z0TTG2BJ6HS0QM1WLH4Z5XEJSQGD,1,586184,5657.4900,3514293,L68EECPLPNV60YT4R0WU
CVDZHPBDBLI8XT7OLPLPCUSGG4SEQRK7X5X1,1,586184,3360.9720,8200379,8MKWGCS1MF3GD030MDXJQ9J9KW937EI2GMAQN
6G1C1YBWH5U,60,607020,3163.8819,2010658,R6H3LKZO4X2Q9RHCPJ930KSTRORF3XZFJVB34WFF
G3Y0ADHQG5IYUELHMF4ND1X7N39JW0VBSH6A7G24XVRN93XJKXQ3M1,1,987341,6902.8011,7227724,U39PCJPMSRSX1YP7XCCP1CCAZW2F3KSBU560J2MJQQL15AV
D6LWXZKS8V33Z0XHP9QJKVODEL02GYSGPVJV14Z,1,64616,6644.8638,517060,8CJC7CTO1CNRLOE072RFAQ6KZIBN9PVJG9IWV2J6SRFRX87UM69GS1D
DQENBKNN83W979LZQN8JO9KAR4C8R7US6O0C7YBBR77SD01BZ8GC4PF1,170,325646,4350.1649,8393331,D7SVRBOL3WIYNIA0QBN3LU85PWHC8MXA73F3VNCXGBD
OR4ZTQSQZTCTR8BO78UJUQ4AL1YVZPDJT1P1TH1GEPK,20,229807,8313.8661,3632001,SPKO4DL7PT8EIHMPW6H2B
GCPQG9Z7E4SOYHT6ANLEASGYEGWVAZRS50VTI2UN4JAZO1YWRQEJ10X9YKYJ,20,405531,8809.8327,8343098,F5ABJOHVSI216WLD9ZNFXAF1Z33S9UBH4XLX1KNGORF
