customer_na_attributes_sk,site_sk,site,customer_no,customer_sk,na_national_operator_cd,na_national_operator_name,rtm_national_acct_vp,rtm_national_acct_director,rtm_national_channel_code,rtm_national_channel_desc,na_national_operator_acct_graduation_ind,rtm_national_chain_code,rtm_national_chain_desc,rtm_national_sub_channel_desc,rtm_national_sub_channel_code,na_national_operator_banner_srv_lvl_cd,na_national_operator_banner_srv_lvl_desc,na_national_operator_concept_banner_cd,na_national_operator_concept_banner_name,univ_customer_no,na_retailer_store_id,na_retailer_store_desc,na_national_operator_customer_industry_cd,na_national_operator_customer_industry_desc,na_national_operator_customer_line_of_business_cd,na_national_operator_customer_line_of_business_desc,na_national_operator_unit_program_autonomy_cd,na_national_operator_unit_program_autonomy_desc,na_national_operator_proprietor_franchise_ownership,na_national_customer_in_compliance_ind,load_dt,modified_dt,modified_user,src_desc,source_system,is_deleted,check_sum,retailer_store_id,retailer_store_banner,retailer_store_assortment_group_desc,retailer_store_group_desc,retailer_store_beer_group_desc,retailer_store_spirit_group_desc,retailer_store_wine_group_desc
965088639,100000,HWQ4DBPXGJBUKZH,4FUC8Q1,DYAP15FEANOLD2,RN1HY2N6LS,DESC_0,68MTWUHR,G7EE1ZZ5X,YRGACAJ30V,DESC_0,N,SHWND4FAS97EG20,DESC_0,DESC_0,J1OFUVU07,4B8QXFYIPL6,DESC_0,XW20NR,DESC_0,ID5VCNPTOU70PY,WHT,DESC_0,N,Y,GECDLS7H359O8YT,DESC_0,F84LU5APL8641,DESC_0,5LL,Y,2025-09-06 09:03:00.000000,2025-06-02 06:13:21.000000,UVY98BOG,DESC_0,5NNJCB0BOKE1DN,9YOTD67F6U0M,38SZGBY7WSMBOOV,0188I3CYEU12,PYD0NHQT01FH0MY,DESC_0,DESC_0,DESC_0,DESC_0,DESC_0
331974169,100001,WMNDGRC,H49HKY91IUMJAYX,ZBZP7ML85RB,5AMRW9ZP76,DESC_1,BZIBXSB6,GK7M3RPEMHZ78,56LVO667NQDXXQC,DESC_1,Y,P1GMGHSB2,DESC_1,DESC_1,YTUTBXNZS63IU7E,X4ZJERSPS90,DESC_1,P7WDYXK,DESC_1,SSPS8A6RGJ,LMTQ05R9D,DESC_1,N,Y,6S09K3HWB5TL,DESC_1,TMOJNE5ZB,DESC_1,PCC2P5,N,2025-05-09 13:00:55.000000,2024-09-11 08:36:02.000000,8EQ50D3ERE,DESC_1,DBEOC1E,HFUSXJ3VYWI20YZ,S5DDEG,JW7QN,YH5,DESC_1,DESC_1,DESC_1,DESC_1,DESC_1
672367490,100002,RN5SW5U7DDE5,KQWAAG9A,OFNTOE4DRUS99,EU1RQWPE92CW6,DESC_2,31O4KPQNM3O,RTZ7PQJX,D282S1OGO,DESC_2,N,PLJQZZGEOX,DESC_2,DESC_2,8FJDHXJ79,I67,DESC_2,D0G1QA350HS,DESC_2,OXOSY7CW90M4C55,8TSEE87162B26NP,DESC_2,N,Y,LOR88DA99N1ZD5,DESC_2,F6RP,DESC_2,GHABG5DRPFS6,N,2024-03-12 11:23:25.000000,2025-08-09 22:08:42.000000,JHK,DESC_2,DSI0V,OGYC1V6U,8R8EBYQ2ZW,UWQUIV3CR,C7IBVO6S1EM6CNU,DESC_2,DESC_2,DESC_2,DESC_2,DESC_2
130789094,100003,EYZHMOFQCB6ZLS,DIB47D2CGJ7,2ACMOTBYTBBS4WU,RX44VUCVL98S6S,DESC_3,MOVMP,VX0TV1F3VZ7RN0,2N4RARUNWX,DESC_3,N,I2UTM8U,DESC_3,DESC_3,QY85K36G2J9LB2,Y9RBLQQG6AE7B4,DESC_3,MOGNDRQX9Z7,DESC_3,C6T9SHOO399KZH,Q42D6ZBAWCL,DESC_3,N,N,3CKY08GH18X8,DESC_3,N1PBN2LI4LV0,DESC_3,4TQH3Z1T3OI,Y,2024-12-03 04:35:01.000000,2025-04-08 10:02:09.000000,65M8WC11V,DESC_3,0P5OO4LLRQFLR,NQV,P3HWB1NO619O668,95YSK07,U0H7IRFGA6XE,DESC_3,DESC_3,DESC_3,DESC_3,DESC_3
956473364,100004,EZ1U01489S,S06GO5YJK5HA12,Z4D2VD9,D9T1YKIP4REXCN,DESC_4,FAYDC,DZDOU,7W48YMTODWB,DESC_4,Y,9WMLY83HXRMI03S,DESC_4,DESC_4,RA4L,O0EACPIX,DESC_4,PN1H,DESC_4,BZJQZ3E7FOOC391,HDNRT,DESC_4,N,N,IWELBQVQ,DESC_4,JUBZ30XSCWH,DESC_4,224VG37,Y,2025-05-19 04:17:25.000000,2025-02-01 09:14:07.000000,C2VG,DESC_4,V2A96FMA8STROM,K0NA5KL4GS1XM,C1TC389,5ZFHRR3,CJS3WSGKZ5EW,DESC_4,DESC_4,DESC_4,DESC_4,DESC_4
852937258,100005,NMQOTH,NOZ86PV8ZBGV2V,TPFYC8P4W5,KJJ5UPXCT,DESC_5,KHARDC3G1N3KW,QVBAJOGRA,R0WPIT4AUZ,DESC_5,N,K90NMEFTDKO9RJ,DESC_5,DESC_5,BEV,08YIUKTD9,DESC_5,173QD1J,DESC_5,7VOJ3NEBD199,FEGRC23H,DESC_5,N,Y,2LTBZ0H,DESC_5,CGG7VZS,DESC_5,M6C,N,2024-05-08 18:56:21.000000,2024-04-10 10:57:07.000000,MINW6K,DESC_5,XGHRBML5R,Z4WBN,AD2V568YWLUN,UHFYMST7SI4G6JO,3WXPK992C80,DESC_5,DESC_5,DESC_5,DESC_5,DESC_5
781709303,100006,Q0HO68TSKX6W0,OGUFZZMZ,821CM308T2J,TY7NDX6LNM,DESC_6,7OBAJAA800,PDQB4UAMRMR,Z08JLOAGN,DESC_6,N,PM59H1WU9DJT,DESC_6,DESC_6,4O09PL2YI,GAYK,DESC_6,M3JN,DESC_6,N4IEMHAJD5UQ6T6,DCC,DESC_6,N,Y,D6SFIBDHHZ9,DESC_6,AQPDV,DESC_6,MBTRC,N,2024-02-17 13:01:50.000000,2025-04-06 05:12:25.000000,IEPBNT,DESC_6,HYTGO,43ZV3H8VT0LJ16W,532I0FWZBJ,X2WW37T4T,LCRFYLU4PFGE,DESC_6,DESC_6,DESC_6,DESC_6,DESC_6
177104678,100007,47IQKKP98,6K1A3M60UPGJR30,I06JFKV5AS,3M1O8,DESC_7,TTFYA2,HW88J4F4A,7YHF,DESC_7,Y,66DQC0J,DESC_7,DESC_7,8WK6K9A,4TT0,DESC_7,V9AU68XQBG2NNJG,DESC_7,SO6,X4G,DESC_7,N,N,MVJFE9HXWB,DESC_7,D7YG86AB,DESC_7,JOSFMXTGMR,Y,2024-02-27 02:32:08.000000,2024-04-13 00:12:19.000000,FV1NRJZUYZ,DESC_7,P4WSGP5PD4QLU7V,TDB31X2,MWIO5OWZY,46YX,04DW,DESC_7,DESC_7,DESC_7,DESC_7,DESC_7
705390126,100008,U0IAGP6TQ0Q,AZC,KK16K5UVE9WMDDR,RCT,DESC_8,2D136L6AK,20KX0LDA85HOVGF,52NNGZTEJKG7AC,DESC_8,Y,0XBB9AX1J2,DESC_8,DESC_8,ZAB2PFUVX,4DAJUX7OR86WFT,DESC_8,YHS3,DESC_8,S64C,N2KWX8C54171,DESC_8,N,Y,RVUMFJMM9KOR,DESC_8,GUGEVR67D0GPOE,DESC_8,LC99ELHXV7IS,N,2025-08-22 22:06:33.000000,2025-03-15 15:22:07.000000,QCB0BLBQ8S6NVG7,DESC_8,DV4Z4S1F79SM,IXP8E3B,WYS95BWJ525KD53,TY8EQIRXP4C,UDJZGYYHI9,DESC_8,DESC_8,DESC_8,DESC_8,DESC_8
492686463,100009,Y6SHYAMY6O,LWJ,IDHILXGF,OGJIGD,DESC_9,800C3YI22X9FQ5G,GE98WVYZ,YT90AH18,DESC_9,N,V6CYPH,DESC_9,DESC_9,WEMXD7TQB3U,2PTZTTP8O,DESC_9,WLD7B,DESC_9,L4I0,T38UCM,DESC_9,Y,N,3W4MS,DESC_9,FHG,DESC_9,OK4UPPTD7HP7,N,2024-09-29 04:28:29.000000,2024-05-26 06:38:23.000000,JUPD13PQ67UD,DESC_9,FXMASVMWUMU3J9,158NWCEASUD82,QPW1M6,MIHMSMA0V2RHG,LE8L,DESC_9,DESC_9,DESC_9,DESC_9,DESC_9
